"panel","parameter","q","lambda","dataset","ACC","NMI"
"q","0.3","0.3","0.665","ACM","0.6850688705234159","0.4593071558159667"
"q","0.3","0.3","0.665","Amazon Photo","0.5912854030501089","0.5400695159037286"
"q","0.3","0.3","0.665","BBC News Sport","0.4052464947987336","0.21205945147839245"
"q","0.3","0.3","0.665","Caltech101-20","0.26753283039955295","0.39859368923092303"
"q","0.3","0.3","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"q","0.3","0.3","0.665","Iris","0.82","0.6390424553720329"
"q","0.3","0.3","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"q","0.3","0.3","0.665","Leukemia2","0.601851851851852","0.4674327176160329"
"q","0.3","0.3","0.665","Mushroom","0.728787132775316","0.27559219894646486"
"q","0.3","0.3","0.665","ORL","0.66","0.8410450913836708"
"q","0.72","0.72","0.665","ACM","0.6846280991735537","0.4584156699714208"
"q","0.72","0.72","0.665","Amazon Photo","0.5912854030501089","0.539975141280013"
"q","0.72","0.72","0.665","BBC News Sport","0.4029850746268657","0.20849180207468362"
"q","0.72","0.72","0.665","Caltech101-20","0.26082704666107853","0.3995215315830893"
"q","0.72","0.72","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"q","0.72","0.72","0.665","Iris","0.8177777777777777","0.6371750880827056"
"q","0.72","0.72","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"q","0.72","0.72","0.665","Leukemia2","0.601851851851852","0.4674327176160329"
"q","0.72","0.72","0.665","Mushroom","0.7286230100114887","0.2753553153750247"
"q","0.72","0.72","0.665","ORL","0.6591666666666667","0.8383765883539679"
"q","1.0","1.0","0.665","ACM","0.6836363636363636","0.4571477319976505"
"q","1.0","1.0","0.665","Amazon Photo","0.5913725490196078","0.540030459148087"
"q","1.0","1.0","0.665","BBC News Sport","0.44776119402985076","0.2612363459470592"
"q","1.0","1.0","0.665","Caltech101-20","0.26082704666107853","0.3996663382269173"
"q","1.0","1.0","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"q","1.0","1.0","0.665","Iris","0.82","0.6390424553720329"
"q","1.0","1.0","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"q","1.0","1.0","0.665","Leukemia2","0.601851851851852","0.4674327176160329"
"q","1.0","1.0","0.665","Mushroom","0.7286640407024455","0.27480421147927814"
"q","1.0","1.0","0.665","ORL","0.6558333333333334","0.8375665035120577"
"q","6.0","6.0","0.665","ACM","0.6839669421487603","0.4574241903708989"
