"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC","NMI","prediction_file_sha256"
"q","0.3","0.3","0.665","ACM","0","3025","3","20","3","0.6829752066115703","0.45521251551871544","1df783c670053895ed460ccfc6588463f2f51d9349096f5e3e567779b04c6719"
"q","0.3","0.3","0.665","ACM","1","3025","3","20","3","0.6833057851239669","0.4570814177710752","281e5a50abb79809d260de48c9c0589b85eb3303b31868b66a29c338fa71cef6"
"q","0.3","0.3","0.665","ACM","2","3025","3","20","3","0.6889256198347108","0.4656275341581094","02be45c6d3072264c54ece608d79bd618d89757ad6ae46f950fa573c8430a305"
"q","0.3","0.3","0.665","Amazon Photo","0","7650","8","20","8","0.5922875816993464","0.5397795117320231","bdc63fd6c0ea9176dc0b682f4ec26e77e26c1ce7c3fc2fdd529f58b693862bf2"
"q","0.3","0.3","0.665","Amazon Photo","1","7650","8","20","8","0.5912418300653595","0.5400707504063184","0dd98f8db566af882ca5334fc48fd118ed16d1f5775372c45d484773e0fc5972"
"q","0.3","0.3","0.665","Amazon Photo","2","7650","8","20","8","0.5903267973856209","0.5403582855728445","e2ec0896330afcb605c530c2b9bfd297ee1e3ce0e01bf17dbb455c753d7623f0"
"q","0.3","0.3","0.665","BBC News Sport","0","737","5","20","5","0.37720488466757124","0.19079222068865812","e579012beb55dd8bde6abb19d6d515e7da7eeffcab24df6749dc2a1a92493e5b"
"q","0.3","0.3","0.665","BBC News Sport","1","737","5","20","5","0.4355495251017639","0.2667994590857897","37e9e2ce9078ec953587995d40931d6c77d85461505d4daa951e4e155bfdf50f"
"q","0.3","0.3","0.665","BBC News Sport","2","737","5","20","5","0.40298507462686567","0.17858667466072956","5a6dfd7f97501ed27ed182482a449ccd13b5045bb1dd91170ea76b5b4efe6eb2"
"q","0.3","0.3","0.665","Caltech101-20","0","2386","20","20","20","0.25901089689857504","0.3998977669632762","31e8f2e3e85f274f53902a05d0888b2124fabc633e83a95f0691a61a7a492bf0"
"q","0.3","0.3","0.665","Caltech101-20","1","2386","20","20","20","0.2598491198658843","0.3909477497286647","53dc2a98e1a3b38452ce9cce242cdb0f7c2ea6d519b597f638b66f931a581017"
"q","0.3","0.3","0.665","Caltech101-20","2","2386","20","20","20","0.2837384744341995","0.4049355510008283","1bf42dcbb9e159e667e6e12a15c6c48e7ffe4e7c103536d44729346775f1c2bb"
"q","0.3","0.3","0.665","Chameleon","0","2277","5","20","5","0.3227931488801054","0.0645215350884266","5ea9065d0785723c7d9279112650ed700b46b054335670c3839d2c5283f6a280"
"q","0.3","0.3","0.665","Chameleon","1","2277","5","20","5","0.3227931488801054","0.0645215350884266","1a8954ea044f96ab973930f53dec4a8af22dffb67988fb499aea442bdad958e9"
"q","0.3","0.3","0.665","Chameleon","2","2277","5","20","5","0.3227931488801054","0.0645215350884266","b2ec419fad21350a62ef750cd123588cca2f0e47efdb7089fd3dfee3fd09006b"
"q","0.3","0.3","0.665","Iris","0","150","3","20","3","0.8066666666666666","0.6110929132666966","f51e6dbffeeb13aebb432b1529720cb3673520b3ec99c7a7eee5f902b8faf2ba"
"q","0.3","0.3","0.665","Iris","1","150","3","20","3","0.8266666666666667","0.6534762508409035","5701216082ede7c6e52f8dbda8b59d3d43dd05c0943c147f9423b0707f67270c"
"q","0.3","0.3","0.665","Iris","2","150","3","20","3","0.8266666666666667","0.6525582020084985","50b92991be3e2893ae7d3554d2338ced48ec8a73098c892e2ab4ce393d36569f"
"q","0.3","0.3","0.665","Leukemia","0","72","2","20","2","0.7083333333333334","0.12531250648530332","586a1d6943e49d240993a67b4e8435bd38ba1b5b50138d4a7b33f8d680bc7bfb"
