"panel","parameter","q","lambda","ACC","NMI","ACC_sd_across_datasets","NMI_sd_across_datasets","n_datasets","n_pools"
"q","0.29999999999999999","0.29999999999999999","0.66500000000000004","0.57908990656124182","0.40229763173209421","0.18516448779064626","0.23992897198363047","10","30"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","0.57782714120328305","0.40145778959106676","0.18625835945769614","0.23948285531799518","10","30"
"q","1","1","0.66500000000000004","0.58210728614479712","0.4066760804872846","0.18218973739750477","0.23535081901954949","10","30"
"q","6","6","0.66500000000000004","0.5838510172637823","0.40959827142642774","0.17769343215912214","0.23327218643042685","10","30"
"q","12","12","0.66500000000000004","0.58300126746999725","0.40698839324496039","0.17469531575520136","0.23100946576513429","10","30"
"lambda","0.10000000000000001","0.71999999999999997","0.10000000000000001","0.58348760701554059","0.41096024298028161","0.1806113096027315","0.23303495041674163","10","30"
"lambda","0.5","0.71999999999999997","0.5","0.58354382241269132","0.41045888491038385","0.17981253879328427","0.23259877524312558","10","30"
"lambda","0.66500000000000004","0.71999999999999997","0.66500000000000004","0.57782714120328305","0.40145778959106676","0.18625835945769614","0.23948285531799518","10","30"
"lambda","1","0.71999999999999997","1","0.57817755274304905","0.40145119275959812","0.185636979636708","0.23936688348148741","10","30"
"lambda","4","0.71999999999999997","4","0.57598928947260641","0.39402295550190969","0.18590092418229154","0.23911421228242982","10","30"
"lambda","12","0.71999999999999997","12","0.57659869922056561","0.39545235817425139","0.18672891220347174","0.24023701656888821","10","30"
