"dataset","pool","sha256","n","c","M"
"BBC News Sport","0","730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4","737","5","20"
"BBC News Sport","1","0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8","737","5","20"
"BBC News Sport","2","1a60783054101d61bd713be9cc2060f8db605d9c18a691230a117f699f1dccb6","737","5","20"
"Leukemia","0","ddfe734d8536b78098385371894e671a0de4574e6604b73bc80b4f3bac70e687","72","2","20"
"Leukemia","1","3d2168b1cfe953557c64188bf2950f386f4868e047b00d32027d3e8cf4eccd49","72","2","20"
"Leukemia","2","e70f27de72593649913c0537c2e8331807cbbefb1ba92df3992786df11cc6d35","72","2","20"
"Caltech101-20","0","ab104791b10bab62426cb73bf2601e3e8307c78fe26f9a1f3770042940a263d4","2386","20","20"
"Caltech101-20","1","0cc7486e182060715505ff9b064eb3841f4c439f4e68fac74f620372b5aa4d81","2386","20","20"
"Caltech101-20","2","df314494c4a6d090a22c26050c8df63d3bf50cc1c4ad68b7cabadff29997a96f","2386","20","20"
"Leukemia2","0","0b415b0f5cae4503ff3111c5ebb7596fbe130d93ad228f3a3ad906cb4a327f66","72","3","20"
"Leukemia2","1","34aa0fd1586bcbec6cf2c4ffc2f2fef3fbfb86087bfc25572b988c05961e70d8","72","3","20"
"Leukemia2","2","ea9800cb96610ada9d4963f62a725b2116329005e90b56dc8c3bffcdc6e3614e","72","3","20"
"Chameleon","0","6a549bbbeb4c04a05f6528ad57e91a93742d5f61ca9f0e456b6b3ca8c237b4ab","2277","5","20"
"Chameleon","1","2bb8825d69ff6f077e51ad669ed7390a3ca08eea68407a84b70a309c03358983","2277","5","20"
"Chameleon","2","5237b77bef2ba9a5e669e484823cac29d5a8a056d126167981847c6163e9b7fd","2277","5","20"
"Amazon Photo","0","935f1c813510e7bc817fed7208829440e4028de7242d76d192eb3fc98b3f0909","7650","8","20"
"Amazon Photo","1","2e0c45d3a4571101efe77757a714ab17355890b152aced7cd32636b00e13c2b5","7650","8","20"
"Amazon Photo","2","514007bc6d973f37f1cf6b967da0e5c12bf1748e34b54c1c5ec4ffcc8aa09020","7650","8","20"
"ORL","0","f2588b2ea07b34d6aa333abeb092ef620e93b84692c3fb122da179450a46572f","400","40","20"
"ORL","1","8d080deb9c8743bd73ca09a870ee42a748728429ac011eb7bf7516f5568ae47f","400","40","20"
"ORL","2","f33388c9b51681ece93d7414d3b04d5a7fe5ba476b1b72fdcfae458331b0b846","400","40","20"
"ACM","0","c54cddd4650e11280086724e1c6031998a322b15d7fdaf9bcdf9370639eb4b63","3025","3","20"
"ACM","1","090ab7b1b15c79cb0da59e5a08813c61fd4558d28389f74c22ec210e1db1b7cc","3025","3","20"
"ACM","2","827cc436b7c06c8368cf83b5bd317193144c6fde0557d00dcee5d486db9379d0","3025","3","20"
"Iris","0","5701ed0cd94ed20c161832a23b22205d1dbc42c20a8bc913e54c9184a3cc341d","150","3","20"
"Iris","1","3ed92bb10de2f71084c32c2a9ad9cb84de3df554853516ed6d5df58a52ab6d9f","150","3","20"
"Iris","2","52eee3e7c59ab74164ac773cb692c65b2f199d4b23ad08bdc82675a71337188c","150","3","20"
"Mushroom","0","bcb2fdeeba5407fb9a96b0dbc2cfe16ef8ef540a4bcdc6ed996b2c12c0e3353d","8124","2","20"
"Mushroom","1","cd8a189a0c8f7c35e61b9be18d85fc0356bdac9a6b9a9f6071e8fdd1e19930c6","8124","2","20"
"Mushroom","2","b57b2c1c3d30f8b103baa240fe84b0be08e9269e6362928bc789e16b4c08490b","8124","2","20"
