comparator,metric,mean_delta,median_delta,wins,ties,losses,n_datasets,wilcoxon_statistic,raw_p,n_nonzero_differences,holm_p
MCLA,NMI,0.022951254972505976,-0.0033541216056177173,5,0,5,10,22.0,0.625,10,1.0
MCLA,homogeneity,0.011904441468328458,-0.0034648414708593166,5,0,5,10,23.0,0.6953125,10,1.0
MCLA,completeness,0.03735647217649282,-0.0022891635405509828,5,0,5,10,21.0,0.556640625,10,1.0
HBGF,NMI,0.042188874221637175,0.018138949517966352,7,0,3,10,13.0,0.16015625,10,0.9609375
HBGF,homogeneity,0.021675628532990373,0.01592791122132839,7,0,3,10,17.0,0.322265625,10,1.0
HBGF,completeness,0.06766911952363512,0.022706006064348954,9,0,1,10,4.0,0.013671875,10,0.08203125
CEHM,NMI,0.008267331056282006,-0.0012649656948709384,4,1,5,10,21.0,0.91015625,9,1.0
CEHM,homogeneity,0.011897933165342314,0.0018117750269229238,5,1,4,10,19.0,0.734375,9,1.0
CEHM,completeness,-0.002692064285516474,-0.0071016334985012225,3,1,6,10,13.0,0.30078125,9,1.0
YACHT,NMI,0.05393638090809603,0.03796309939754869,6,0,4,10,16.0,0.275390625,10,1.0
YACHT,homogeneity,0.03587262398124555,0.03953753947041688,6,0,4,10,18.0,0.375,10,1.0
YACHT,completeness,0.07712714188494141,0.03831144297839493,7,0,3,10,11.0,0.10546875,10,0.52734375
RANGE,NMI,0.02214975262951737,0.016576403279734614,6,0,4,10,22.0,0.625,10,1.0
RANGE,homogeneity,0.0036747448886344236,0.015196918469900927,6,0,4,10,24.0,0.76953125,10,1.0
RANGE,completeness,0.04566307725177596,0.017371224978549316,6,0,4,10,17.0,0.322265625,10,1.0
GPEC,NMI,0.019715084483514465,0.0038782404973310147,6,0,4,10,22.0,0.625,10,1.0
GPEC,homogeneity,0.008716684428554215,0.005159022329008639,6,0,4,10,25.0,0.845703125,10,1.0
GPEC,completeness,0.03427823053122636,0.002439794738840151,6,0,4,10,20.0,0.4921875,10,1.0
