metric,comparator,mean_delta,median_delta,wins,ties,losses,favorable
H_Z_given_Y,MCLA,-0.07001284561938582,-0.03236755848613604,7,0,3,True
H_Z_given_Y,HBGF,-0.21786200884637896,-0.17384693665315237,9,0,1,True
H_Z_given_Y,CEHM,0.04510509385115685,0.018005618225603277,3,1,6,False
H_Z_given_Y,YACHT,-0.18455899104449475,-0.15379385596227926,10,0,0,True
H_Z_given_Y,RANGE,-0.1473847362714932,-0.11101773796263273,8,0,2,True
H_Z_given_Y,GPEC,-0.11835087885232162,-0.05427955898901612,6,0,4,True
macro_fragmentation,MCLA,-0.07963318194666845,-0.050640499327670854,7,0,3,True
macro_fragmentation,HBGF,-0.21342175887586676,-0.1763278349595489,9,0,1,True
macro_fragmentation,CEHM,0.046186135334875575,0.017599309920282625,3,1,6,False
macro_fragmentation,YACHT,-0.18415942647595615,-0.14180654040022547,10,0,0,True
macro_fragmentation,RANGE,-0.15362078587011416,-0.14512389254826402,8,0,2,True
macro_fragmentation,GPEC,-0.12580918621906997,-0.09720277044535527,7,0,3,True
AMI,MCLA,0.021405951806604033,-0.0035949613768511087,5,0,5,False
AMI,HBGF,0.04162090846129352,0.018404056854722295,7,0,3,True
AMI,CEHM,0.008568518303156426,-0.0012596115379727504,4,1,5,False
AMI,YACHT,0.05373235271051487,0.0384159859800569,6,0,4,True
AMI,RANGE,0.0202541298004175,0.016779947959014763,6,0,4,True
AMI,GPEC,0.0181748982725107,0.0036653673434520846,6,0,4,True
MI,MCLA,-0.0016948541661225586,-0.001290120747035976,5,0,5,False
MI,HBGF,0.01741259587070052,0.0280848153636137,7,0,3,True
MI,CEHM,0.017270074339749277,0.004340081559868277,5,1,4,True
MI,YACHT,0.01665559438700826,0.02672509970035501,6,0,4,True
MI,RANGE,-0.020493784782661062,0.01983704669019626,6,0,4,True
MI,GPEC,0.0015623079490690306,0.005627762876701266,6,0,4,True
