metric,comparator,test,n,nonzero_n,mean_delta,median_delta,wins,ties,losses,positive_count,negative_count,zero_count,wilcoxon_statistic,raw_p,favorable_direction,favorable,holm_p
H_Z_given_Y,MCLA,"paired Wilcoxon signed-rank, two-sided",10,10,-0.07001284561938582,-0.03236755848613604,7,0,3,3,7,0,9.0,0.064453125,negative,True,0.193359375
H_Z_given_Y,HBGF,"paired Wilcoxon signed-rank, two-sided",10,10,-0.21786200884637896,-0.17384693665315237,9,0,1,1,9,0,1.0,0.00390625,negative,True,0.01953125
H_Z_given_Y,CEHM,"paired Wilcoxon signed-rank, two-sided",10,9,0.04510509385115685,0.018005618225603277,3,1,6,6,3,1,11.0,0.203125,negative,False,0.2109375
H_Z_given_Y,YACHT,"paired Wilcoxon signed-rank, two-sided",10,10,-0.18455899104449475,-0.15379385596227926,10,0,0,0,10,0,0.0,0.001953125,negative,True,0.01171875
H_Z_given_Y,RANGE,"paired Wilcoxon signed-rank, two-sided",10,10,-0.1473847362714932,-0.11101773796263273,8,0,2,2,8,0,7.0,0.037109375,negative,True,0.1484375
H_Z_given_Y,GPEC,"paired Wilcoxon signed-rank, two-sided",10,10,-0.11835087885232162,-0.05427955898901612,6,0,4,4,6,0,11.0,0.10546875,negative,True,0.2109375
macro_fragmentation,MCLA,"paired Wilcoxon signed-rank, two-sided",10,10,-0.07963318194666845,-0.050640499327670854,7,0,3,3,7,0,9.0,0.064453125,negative,True,0.1484375
macro_fragmentation,HBGF,"paired Wilcoxon signed-rank, two-sided",10,10,-0.21342175887586676,-0.1763278349595489,9,0,1,1,9,0,1.0,0.00390625,negative,True,0.01953125
macro_fragmentation,CEHM,"paired Wilcoxon signed-rank, two-sided",10,9,0.046186135334875575,0.017599309920282625,3,1,6,6,3,1,10.0,0.1640625,negative,False,0.1640625
macro_fragmentation,YACHT,"paired Wilcoxon signed-rank, two-sided",10,10,-0.18415942647595615,-0.14180654040022547,10,0,0,0,10,0,0.0,0.001953125,negative,True,0.01171875
macro_fragmentation,RANGE,"paired Wilcoxon signed-rank, two-sided",10,10,-0.15362078587011416,-0.14512389254826402,8,0,2,2,8,0,7.0,0.037109375,negative,True,0.1484375
macro_fragmentation,GPEC,"paired Wilcoxon signed-rank, two-sided",10,10,-0.12580918621906997,-0.09720277044535527,7,0,3,3,7,0,8.0,0.048828125,negative,True,0.1484375
AMI,MCLA,"paired Wilcoxon signed-rank, two-sided",10,10,0.021405951806604033,-0.0035949613768511087,5,0,5,5,5,0,22.0,0.625,positive,False,1.0
AMI,HBGF,"paired Wilcoxon signed-rank, two-sided",10,10,0.04162090846129352,0.018404056854722295,7,0,3,7,3,0,14.0,0.193359375,positive,True,1.0
AMI,CEHM,"paired Wilcoxon signed-rank, two-sided",10,9,0.008568518303156426,-0.0012596115379727504,4,1,5,4,5,1,22.0,1.0,positive,False,1.0
AMI,YACHT,"paired Wilcoxon signed-rank, two-sided",10,10,0.05373235271051487,0.0384159859800569,6,0,4,6,4,0,16.0,0.275390625,positive,True,1.0
AMI,RANGE,"paired Wilcoxon signed-rank, two-sided",10,10,0.0202541298004175,0.016779947959014763,6,0,4,6,4,0,22.0,0.625,positive,True,1.0
AMI,GPEC,"paired Wilcoxon signed-rank, two-sided",10,10,0.0181748982725107,0.0036653673434520846,6,0,4,6,4,0,22.0,0.625,positive,True,1.0
MI,MCLA,"paired Wilcoxon signed-rank, two-sided",10,10,-0.0016948541661225586,-0.001290120747035976,5,0,5,5,5,0,27.0,1.0,positive,False,1.0
MI,HBGF,"paired Wilcoxon signed-rank, two-sided",10,10,0.01741259587070052,0.0280848153636137,7,0,3,7,3,0,19.0,0.431640625,positive,True,1.0
MI,CEHM,"paired Wilcoxon signed-rank, two-sided",10,9,0.017270074339749277,0.004340081559868277,5,1,4,5,4,1,18.0,0.65234375,positive,True,1.0
MI,YACHT,"paired Wilcoxon signed-rank, two-sided",10,10,0.01665559438700826,0.02672509970035501,6,0,4,6,4,0,22.0,0.625,positive,True,1.0
MI,RANGE,"paired Wilcoxon signed-rank, two-sided",10,10,-0.020493784782661062,0.01983704669019626,6,0,4,6,4,0,27.0,1.0,positive,True,1.0
MI,GPEC,"paired Wilcoxon signed-rank, two-sided",10,10,0.0015623079490690306,0.005627762876701266,6,0,4,6,4,0,27.0,1.0,positive,True,1.0
