cohort,metric,direction,comparator,n_valid_datasets,mean_raw_delta_psf_minus_comparator,median_raw_delta_psf_minus_comparator,mean_directional_advantage,median_directional_advantage,wins,ties,losses,favorable
REVISED_CORE10_NATIVE,homogeneity,higher,MCLA,10,0.011904441468328513,-0.0034648414708593825,0.011904441468328513,-0.0034648414708593825,5,0,5,False
REVISED_CORE10_NATIVE,homogeneity,higher,HBGF,10,0.02167562853299012,0.015927911221328334,0.02167562853299012,0.015927911221328334,7,0,3,True
REVISED_CORE10_NATIVE,homogeneity,higher,CEHM,10,0.011897933165342428,0.0018117750269229238,0.011897933165342428,0.0018117750269229238,5,1,4,True
REVISED_CORE10_NATIVE,homogeneity,higher,YACHT,10,0.0358726239812456,0.039537539470416924,0.0358726239812456,0.039537539470416924,6,0,4,True
REVISED_CORE10_NATIVE,homogeneity,higher,RANGE,10,0.0036747448886344904,0.015196918469900927,0.0036747448886344904,0.015196918469900927,6,0,4,True
REVISED_CORE10_NATIVE,homogeneity,higher,GPEC,10,0.008716684428554378,0.0051590223290088055,0.008716684428554378,0.0051590223290088055,6,0,4,True
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,MCLA,10,-0.0940002347242325,-0.06478253917004215,0.0940002347242325,0.06478253917004215,7,0,3,True
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,HBGF,10,-0.12427948644460318,-0.09060676155121,0.12427948644460318,0.09060676155121,9,0,1,True
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,CEHM,10,0.017115878717697562,0.007244890803936345,-0.017115878717697562,-0.007244890803936345,3,1,6,False
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,YACHT,10,-0.11929161100938664,-0.05419132336217113,0.11929161100938664,0.05419132336217113,9,0,1,True
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,RANGE,10,-0.09123254478053829,-0.03930790965547792,0.09123254478053829,0.03930790965547792,8,0,2,True
REVISED_CORE10_NATIVE,MacroMixEntropy,lower,GPEC,10,-0.0689499904941582,-0.035365126367261655,0.0689499904941582,0.035365126367261655,8,0,2,True
REVISED_CORE10_NATIVE,MacroPurity,higher,MCLA,10,0.06184252392995743,0.05888317605492288,0.06184252392995743,0.05888317605492288,7,0,3,True
REVISED_CORE10_NATIVE,MacroPurity,higher,HBGF,10,0.08932610057277576,0.0833797095967081,0.08932610057277576,0.0833797095967081,8,0,2,True
REVISED_CORE10_NATIVE,MacroPurity,higher,CEHM,10,-0.009676116802962414,-0.007173650631028428,-0.009676116802962414,-0.007173650631028428,3,1,6,False
REVISED_CORE10_NATIVE,MacroPurity,higher,YACHT,10,0.07946357239603401,0.043873451531920515,0.07946357239603401,0.043873451531920515,9,0,1,True
REVISED_CORE10_NATIVE,MacroPurity,higher,RANGE,10,0.047880540817631295,0.043666710734379666,0.047880540817631295,0.043666710734379666,8,0,2,True
REVISED_CORE10_NATIVE,MacroPurity,higher,GPEC,10,0.04729973735311569,0.03904971280078695,0.04729973735311569,0.03904971280078695,7,0,3,True
REVISED_CORE10_NATIVE,PairMixRate,lower,MCLA,10,0.03936120771385036,0.013111532281067234,-0.03936120771385036,-0.013111532281067234,2,0,8,False
REVISED_CORE10_NATIVE,PairMixRate,lower,HBGF,10,0.041418512233806534,0.01079950159794743,-0.041418512233806534,-0.01079950159794743,2,0,8,False
REVISED_CORE10_NATIVE,PairMixRate,lower,CEHM,10,-0.014722182112779602,-0.004429623723910453,0.014722182112779602,0.004429623723910453,6,1,3,True
REVISED_CORE10_NATIVE,PairMixRate,lower,YACHT,10,0.02152121600454592,0.00046424464777899965,-0.02152121600454592,-0.00046424464777899965,5,0,5,False
REVISED_CORE10_NATIVE,PairMixRate,lower,RANGE,10,0.051760933310015855,0.031706621928038414,-0.051760933310015855,-0.031706621928038414,3,0,7,False
REVISED_CORE10_NATIVE,PairMixRate,lower,GPEC,10,0.030158160717167377,0.005108881131847376,-0.030158160717167377,-0.005108881131847376,2,0,8,False
REVISED_CORE10_NATIVE,rho_size_entropy,higher,MCLA,8,0.1713190108993902,0.21209138651487205,0.1713190108993902,0.21209138651487205,5,2,1,True
REVISED_CORE10_NATIVE,rho_size_entropy,higher,HBGF,8,0.07005474729664757,0.3033379430902062,0.07005474729664757,0.3033379430902062,6,0,2,True
REVISED_CORE10_NATIVE,rho_size_entropy,higher,CEHM,8,-0.049924649835185714,0.0,-0.049924649835185714,0.0,2,4,2,False
REVISED_CORE10_NATIVE,rho_size_entropy,higher,YACHT,8,0.047231392813074785,0.07478482010447686,0.047231392813074785,0.07478482010447686,5,1,2,True
REVISED_CORE10_NATIVE,rho_size_entropy,higher,RANGE,8,0.05677228096625409,-0.02088676091985059,0.05677228096625409,-0.02088676091985059,3,1,4,False
REVISED_CORE10_NATIVE,rho_size_entropy,higher,GPEC,8,-0.0061795827561585345,0.0,-0.0061795827561585345,0.0,3,3,2,False
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,MCLA,8,0.157002739274009,0.22801095709603605,0.157002739274009,0.22801095709603605,5,1,2,True
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,HBGF,8,0.08253379065002149,0.36348994269337476,0.08253379065002149,0.36348994269337476,6,0,2,True
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,CEHM,8,-0.04461721509300573,0.0,-0.04461721509300573,0.0,3,3,2,False
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,YACHT,8,0.054228040513185374,0.10172591982633841,0.054228040513185374,0.10172591982633841,5,1,2,True
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,RANGE,8,0.07339113356768362,0.016666666666666663,0.07339113356768362,0.016666666666666663,4,1,3,True
REVISED_CORE10_NATIVE,rho_size_pairmix,higher,GPEC,8,0.018252355600169204,0.0,0.018252355600169204,0.0,3,3,2,False
REVISED_CORE10_NATIVE,LCMER,higher,MCLA,10,-0.016313454634343416,0.021697249317072564,-0.016313454634343416,0.021697249317072564,6,0,4,False
REVISED_CORE10_NATIVE,LCMER,higher,HBGF,10,-0.02830028532480856,0.0097181675260678,-0.02830028532480856,0.0097181675260678,6,0,4,False
REVISED_CORE10_NATIVE,LCMER,higher,CEHM,10,0.0016039460323776344,9.241782265145826e-05,0.0016039460323776344,9.241782265145826e-05,5,1,4,True
REVISED_CORE10_NATIVE,LCMER,higher,YACHT,10,-0.06126228190934879,-0.026990087679265917,-0.06126228190934879,-0.026990087679265917,3,0,7,False
REVISED_CORE10_NATIVE,LCMER,higher,RANGE,10,-0.05203923098900365,-0.005757019871188707,-0.05203923098900365,-0.005757019871188707,5,0,5,False
REVISED_CORE10_NATIVE,LCMER,higher,GPEC,10,-0.01997222405225938,-0.023182602934687768,-0.01997222405225938,-0.023182602934687768,3,0,7,False
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,MCLA,10,0.03423202494404641,0.02421046568781232,0.03423202494404641,0.02421046568781232,6,0,4,True
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,HBGF,10,0.013064781068129106,0.0097181675260678,0.013064781068129106,0.0097181675260678,6,0,4,True
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,CEHM,10,0.0459024812677181,0.00124246558793073,0.0459024812677181,0.00124246558793073,5,1,4,True
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,YACHT,10,-0.011991915747431681,-0.0007790496590125429,-0.011991915747431681,-0.0007790496590125429,5,0,5,False
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,RANGE,10,-0.04024331325182171,-0.009378968136425359,-0.04024331325182171,-0.009378968136425359,5,0,5,False
REVISED_CORE10_NATIVE,Top1MixExcessRatio,higher,GPEC,10,0.1153528620794743,-0.03002570872563859,0.1153528620794743,-0.03002570872563859,3,0,7,False
REVISED_CORE10_NATIVE,MixingHHI,higher,MCLA,10,0.15305225700419692,0.10949662461194376,0.15305225700419692,0.10949662461194376,9,0,1,True
REVISED_CORE10_NATIVE,MixingHHI,higher,HBGF,10,0.3136198703066285,0.36464384515522935,0.3136198703066285,0.36464384515522935,9,0,1,True
REVISED_CORE10_NATIVE,MixingHHI,higher,CEHM,10,-0.047122623111171776,-0.017418386934129393,-0.047122623111171776,-0.017418386934129393,2,1,7,False
REVISED_CORE10_NATIVE,MixingHHI,higher,YACHT,10,0.2258790509979276,0.30654546130724536,0.2258790509979276,0.30654546130724536,7,0,3,True
REVISED_CORE10_NATIVE,MixingHHI,higher,RANGE,10,0.23716813112630275,0.2550632639611682,0.23716813112630275,0.2550632639611682,8,0,2,True
REVISED_CORE10_NATIVE,MixingHHI,higher,GPEC,10,0.16067680180277513,0.11465722492691496,0.16067680180277513,0.11465722492691496,8,0,2,True
REVISED_CORE10_NATIVE,PurityGap,higher,MCLA,10,0.08641457553549561,0.07952881276835272,0.08641457553549561,0.07952881276835272,8,0,2,True
REVISED_CORE10_NATIVE,PurityGap,higher,HBGF,9,0.091690715954125,0.07147364119731453,0.091690715954125,0.07147364119731453,7,0,2,True
REVISED_CORE10_NATIVE,PurityGap,higher,CEHM,10,-0.002379424768372802,-0.006074621376985209,-0.002379424768372802,-0.006074621376985209,4,1,5,False
REVISED_CORE10_NATIVE,PurityGap,higher,YACHT,10,0.023042057855904387,-0.036119494768129784,0.023042057855904387,-0.036119494768129784,3,0,7,False
REVISED_CORE10_NATIVE,PurityGap,higher,RANGE,10,0.07986706927677344,0.06177414623857093,0.07986706927677344,0.06177414623857093,6,1,3,True
REVISED_CORE10_NATIVE,PurityGap,higher,GPEC,10,0.03817647101683793,0.022111892009426787,0.03817647101683793,0.022111892009426787,6,1,3,True
REVISED_CORE10_NATIVE,EntropyGap,higher,MCLA,10,0.19775342676270635,0.15514912735149333,0.19775342676270635,0.15514912735149333,8,0,2,True
REVISED_CORE10_NATIVE,EntropyGap,higher,HBGF,9,0.10051237727948518,0.031812727598791946,0.10051237727948518,0.031812727598791946,6,0,3,True
REVISED_CORE10_NATIVE,EntropyGap,higher,CEHM,10,-0.011222324336933473,-0.0017386390712813941,-0.011222324336933473,-0.0017386390712813941,4,1,5,False
REVISED_CORE10_NATIVE,EntropyGap,higher,YACHT,10,0.09567015307204271,-0.03577014462363532,0.09567015307204271,-0.03577014462363532,4,0,6,False
REVISED_CORE10_NATIVE,EntropyGap,higher,RANGE,10,0.1591801430930601,0.06266296463301595,0.1591801430930601,0.06266296463301595,6,1,3,True
REVISED_CORE10_NATIVE,EntropyGap,higher,GPEC,10,0.09910757239472252,0.046742912000437176,0.09910757239472252,0.046742912000437176,6,1,3,True
REVISED_CORE10_NATIVE,PairMixGap,higher,MCLA,10,0.11335067751695031,0.14003365417903113,0.11335067751695031,0.14003365417903113,8,0,2,True
REVISED_CORE10_NATIVE,PairMixGap,higher,HBGF,9,0.09206636111848672,0.025722850225678162,0.09206636111848672,0.025722850225678162,8,0,1,True
REVISED_CORE10_NATIVE,PairMixGap,higher,CEHM,10,0.0004541647273883159,-0.0024098130860892106,0.0004541647273883159,-0.0024098130860892106,4,1,5,False
REVISED_CORE10_NATIVE,PairMixGap,higher,YACHT,10,0.037562771755360866,-0.016515949723982876,0.037562771755360866,-0.016515949723982876,4,0,6,False
REVISED_CORE10_NATIVE,PairMixGap,higher,RANGE,10,0.08107825227429304,0.06934647299473874,0.08107825227429304,0.06934647299473874,6,1,3,True
REVISED_CORE10_NATIVE,PairMixGap,higher,GPEC,10,0.04567494541963306,0.03271847059623556,0.04567494541963306,0.03271847059623556,6,1,3,True
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,MCLA,10,0.0016948541661225614,0.0012901207470359943,-0.0016948541661225614,-0.0012901207470359943,5,0,5,False
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,HBGF,10,-0.017412595870700476,-0.02808481536361368,0.017412595870700476,0.02808481536361368,7,0,3,True
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,CEHM,10,-0.017270074339749208,-0.004340081559868203,0.017270074339749208,0.004340081559868203,5,1,4,True
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,YACHT,10,-0.01665559438700822,-0.02672509970035497,0.01665559438700822,0.02672509970035497,6,0,4,True
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,RANGE,10,0.020493784782661083,-0.01983704669019626,-0.020493784782661083,0.01983704669019626,6,0,4,False
REVISED_CORE10_NATIVE,H_Y_given_Z,lower,GPEC,10,-0.0015623079490689029,-0.005627762876701248,0.0015623079490689029,0.005627762876701248,6,0,4,True
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,MCLA,10,-2.201476928422097,-0.37627492998995127,2.201476928422097,0.37627492998995127,9,0,1,True
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,HBGF,10,-3.701234300712965,-1.7584085100614968,3.701234300712965,1.7584085100614968,9,0,1,True
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,CEHM,10,0.06509420695640362,0.01854699625487488,-0.06509420695640362,-0.01854699625487488,2,1,7,False
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,YACHT,10,-2.0126798244124293,-0.8529987174290241,2.0126798244124293,0.8529987174290241,7,0,3,True
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,RANGE,10,-1.9199252899653856,-0.8468518726024543,1.9199252899653856,0.8468518726024543,8,0,2,True
REVISED_CORE10_NATIVE,MixingEffectiveClusters,lower,GPEC,10,-1.7039127592640397,-0.36736972565194936,1.7039127592640397,0.36736972565194936,8,0,2,True
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,MCLA,10,-0.23787226045236382,-0.14053908804172952,0.23787226045236382,0.14053908804172952,9,0,1,True
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,HBGF,10,-0.43622384710572426,-0.4957876562356721,0.43622384710572426,0.4957876562356721,9,0,1,True
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,CEHM,10,0.04980047613931025,0.0330686889379075,-0.04980047613931025,-0.0330686889379075,1,1,8,False
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,YACHT,10,-0.30956334504286853,-0.3934750486491403,0.30956334504286853,0.3934750486491403,7,0,3,True
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,RANGE,10,-0.32054092366703635,-0.3088558653653673,0.32054092366703635,0.3088558653653673,8,0,2,True
REVISED_CORE10_NATIVE,MixingBurdenEntropy,lower,GPEC,10,-0.2156373725553789,-0.15700386730744592,0.2156373725553789,0.15700386730744592,9,0,1,True
REVISED_CORE10_NATIVE,MixingGini,higher,MCLA,10,0.13079280228941723,0.10170607446893826,0.13079280228941723,0.10170607446893826,9,0,1,True
REVISED_CORE10_NATIVE,MixingGini,higher,HBGF,10,0.3383711860665502,0.3222400512038971,0.3383711860665502,0.3222400512038971,9,0,1,True
REVISED_CORE10_NATIVE,MixingGini,higher,CEHM,10,-0.013040633046380128,-0.007313806536667161,-0.013040633046380128,-0.007313806536667161,0,1,9,False
REVISED_CORE10_NATIVE,MixingGini,higher,YACHT,10,0.15859491851093077,0.20940744368922015,0.15859491851093077,0.20940744368922015,7,0,3,True
REVISED_CORE10_NATIVE,MixingGini,higher,RANGE,10,0.1797671740060506,0.20734548495953675,0.1797671740060506,0.20734548495953675,8,0,2,True
REVISED_CORE10_NATIVE,MixingGini,higher,GPEC,10,0.12478229995402886,0.11602682189801544,0.12478229995402886,0.11602682189801544,8,0,2,True
REVISED_CORE10_NATIVE,cluster_size_cv,higher,MCLA,10,0.19288202892137893,0.2162466437332754,0.19288202892137893,0.2162466437332754,8,0,2,True
REVISED_CORE10_NATIVE,cluster_size_cv,higher,HBGF,10,0.4988864982664224,0.49457071908463257,0.4988864982664224,0.49457071908463257,10,0,0,True
REVISED_CORE10_NATIVE,cluster_size_cv,higher,CEHM,10,-0.0897946873358728,-0.03128074697986381,-0.0897946873358728,-0.03128074697986381,0,1,9,False
REVISED_CORE10_NATIVE,cluster_size_cv,higher,YACHT,10,0.3205898492813195,0.4430307249891266,0.3205898492813195,0.4430307249891266,7,0,3,True
REVISED_CORE10_NATIVE,cluster_size_cv,higher,RANGE,10,0.34389573662402373,0.3752904443183781,0.34389573662402373,0.3752904443183781,9,0,1,True
REVISED_CORE10_NATIVE,cluster_size_cv,higher,GPEC,10,0.22392700082287748,0.19950943147607883,0.22392700082287748,0.19950943147607883,8,0,2,True
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,MCLA,10,0.060698153999128326,0.05576590890377836,0.060698153999128326,0.05576590890377836,8,0,2,True
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,HBGF,10,0.1731088204386096,0.15652777777777774,0.1731088204386096,0.15652777777777774,10,0,0,True
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,CEHM,10,-0.03550156059395829,-0.012101998906752481,-0.03550156059395829,-0.012101998906752481,1,2,7,False
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,YACHT,10,0.11327349031142313,0.13662091744624977,0.11327349031142313,0.13662091744624977,7,0,3,True
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,RANGE,10,0.1252924791237143,0.11656757754800594,0.1252924791237143,0.11656757754800594,9,0,1,True
REVISED_CORE10_NATIVE,largest_cluster_fraction,higher,GPEC,10,0.08087625453977837,0.07856481481481477,0.08087625453977837,0.07856481481481477,8,0,2,True
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,MCLA,10,0.10329528076354835,0.0679337822811569,0.10329528076354835,0.0679337822811569,9,0,1,True
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,HBGF,10,0.15602219795760158,0.14466483011937553,0.15602219795760158,0.14466483011937553,9,0,1,True
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,CEHM,10,-0.018994341383974978,-0.006186915742564664,-0.018994341383974978,-0.006186915742564664,1,2,7,False
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,YACHT,10,0.13743437855884255,0.21277832485365714,0.13743437855884255,0.21277832485365714,7,0,3,True
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,RANGE,10,0.12253637173435679,0.16595657623048282,0.12253637173435679,0.16595657623048282,8,0,2,True
REVISED_CORE10_NATIVE,LargeClusterSampleShare,higher,GPEC,10,0.0955118697768953,0.10140393347557303,0.0955118697768953,0.10140393347557303,8,0,2,True
REVISED_CORE10_NATIVE,LCMS,higher,MCLA,10,0.138125841593834,0.12237880475170443,0.138125841593834,0.12237880475170443,10,0,0,True
REVISED_CORE10_NATIVE,LCMS,higher,HBGF,10,0.2746081023210453,0.3021922363132787,0.2746081023210453,0.3021922363132787,9,0,1,True
REVISED_CORE10_NATIVE,LCMS,higher,CEHM,10,-0.013250989479441155,-0.007083698497595825,-0.013250989479441155,-0.007083698497595825,0,1,9,False
REVISED_CORE10_NATIVE,LCMS,higher,YACHT,10,0.14525197001576995,0.14287709797089837,0.14525197001576995,0.14287709797089837,7,0,3,True
REVISED_CORE10_NATIVE,LCMS,higher,RANGE,10,0.15788210777930423,0.16346042359762258,0.15788210777930423,0.16346042359762258,8,0,2,True
REVISED_CORE10_NATIVE,LCMS,higher,GPEC,10,0.1126112474280789,0.10493056741443813,0.1126112474280789,0.10493056741443813,8,0,2,True
REVISED_CORE10_NATIVE,LCPCS,higher,MCLA,10,0.13456956433519948,0.1005978110262189,0.13456956433519948,0.1005978110262189,9,0,1,True
REVISED_CORE10_NATIVE,LCPCS,higher,HBGF,10,0.26333678773985786,0.26168836666089523,0.26333678773985786,0.26168836666089523,9,0,1,True
REVISED_CORE10_NATIVE,LCPCS,higher,CEHM,10,-0.01593626841713903,-0.006808027844308229,-0.01593626841713903,-0.006808027844308229,1,1,8,False
REVISED_CORE10_NATIVE,LCPCS,higher,YACHT,10,0.17414206729557563,0.23942209641303713,0.17414206729557563,0.23942209641303713,7,0,3,True
REVISED_CORE10_NATIVE,LCPCS,higher,RANGE,10,0.1743225340829006,0.17309965554636408,0.1743225340829006,0.17309965554636408,8,0,2,True
REVISED_CORE10_NATIVE,LCPCS,higher,GPEC,10,0.12138855844660786,0.10214786551462934,0.12138855844660786,0.10214786551462934,8,0,2,True
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,MCLA,10,0.1577014930434344,0.10047301923795399,0.1577014930434344,0.10047301923795399,10,0,0,True
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,HBGF,10,0.3675995160913711,0.3767784596313746,0.3675995160913711,0.3767784596313746,10,0,0,True
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,CEHM,10,-0.030728626998105624,-0.008991701148361397,-0.030728626998105624,-0.008991701148361397,2,1,7,False
