cohort,comparator,H_Z_given_Y_favorable,macro_fragmentation_favorable,fragmentation_favorable,mixing_class,joint_class
REVISED_CORE10_NATIVE,MCLA,True,True,True,M,reduced_fragmentation_only
REVISED_CORE10_NATIVE,HBGF,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE10_NATIVE,CEHM,False,False,False,M,neither
REVISED_CORE10_NATIVE,YACHT,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE10_NATIVE,RANGE,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE10_NATIVE,GPEC,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE9_NO_CHAMELEON,MCLA,True,True,True,M,reduced_fragmentation_only
REVISED_CORE9_NO_CHAMELEON,HBGF,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE9_NO_CHAMELEON,CEHM,False,False,False,M,neither
REVISED_CORE9_NO_CHAMELEON,YACHT,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE9_NO_CHAMELEON,RANGE,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
REVISED_CORE9_NO_CHAMELEON,GPEC,True,True,True,C,reduced_fragmentation_plus_localized_residual_mixing
