dataset,pool,method,method_role,status,n,target_c,M,returned_k,ACC,NMI,ARI,F1,true_label_source_file_sha256,true_labels_sha256_int32_c,prediction_file_sha256,prediction_labels_sha256_int32_c,revision_protocol_id
BBC News Sport,0,MCLA,external,AVAILABLE,737,5,20,5,0.37720488466757124,0.18913996756869794,0.06339974130958899,0.27021726894067316,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,5e51cfe6069e7fb96f616ff1fed693695871a50122bb5a5794cae4d9117a025f,a377b038b2ca16bfc9130c82ee2046b474cef825d516c288bfa3ba337ada6e45,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,HBGF,external,AVAILABLE,737,5,20,5,0.41383989145183175,0.22959722959581821,0.15104380589020494,0.417769530910729,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,7e2b656f3da2f07d2dab8783ad973926b133a55b603659a7750a6c028fd2c8a0,52b6adc6bf6a935655aef4a5dd428cd4df3c180d112614e6379822c3290dcbb8,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,CEHM,external,AVAILABLE,737,5,20,5,0.38670284938941657,0.12601699985153342,0.017434246231957502,0.20610818588779659,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,41e754877bbfe1f4b25865492ed48ccf87143dc2c713f95960c0a5bdbbc7e7be,62441224b8cd5af359a8a90a53b964760c3f23bbc4c0e4ebe5b5ad94cc0566d6,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,YACHT,external,AVAILABLE,737,5,20,5,0.5264586160108549,0.3281237158009385,0.2283127897743436,0.5586996945119511,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,d20e9824444deb964336b0f1536fce4ceec3d14308b26b987c3afc54c00a4176,807335422b7ae51a5bde96b5ba5f9a52846399406ec0ed9e0b88d55265acfa3e,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,RANGE,external,AVAILABLE,737,5,20,5,0.5318860244233379,0.3588382569223098,0.24389080103723756,0.5649944373754865,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,63e1725a18ec723b41f61f15384bc0e521c266d9b25739695fa6973495a9c1f5,fd78ca89c42234d5c0103490922ed8d2dd83ce2eb413caa976de0dec287ce000,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,GPEC,external,AVAILABLE,737,5,20,5,0.4355495251017639,0.23899592467285802,0.09686566469530145,0.45598053263593014,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,0cad7a8994e77238f5b40d0550de9d306987e303f6fb12056ea7e6c57daf52e6,95419f135e035853c9e8b01734e5aa24d6d0ff8a8cee6d4f11dd27fdfaaae865,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,0,PSF-CE,ours,AVAILABLE,737,5,20,5,0.37449118046132973,0.18967445429725954,0.05094200232211933,0.31916291414646086,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,1e91f179736d3c7d264cee3bf41d407b4fa831fb440fd15f925366b5b61fb2f3,619f9547c376de30cf58fc659420283686ce2ba21b274713a3409bba4673d36f,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,1,MCLA,external,AVAILABLE,737,5,20,5,0.49525101763907736,0.3367929311095853,0.15304443453867594,0.5159656529611553,0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,0ff5b65d20da3f7f8b293b7df1619c93cb5a1d68a6a3375ff06ff80bceed4f29,edb35ef516c02f3aee27b31e8aba9601895823053f3985eda9bd4a3287742559,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,1,HBGF,external,AVAILABLE,737,5,20,5,0.4735413839891452,0.25643534920655203,0.15914739055286067,0.4828772931088475,0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,a8b8232ecd66bcf5659e18fc5e1f2783dd19b365bb94f4d7673de3da1aa560b9,521e61525a6246b83007040e3ff39d8d8e0cc3ed507c1507c23a8e9f43944cc6,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
BBC News Sport,1,CEHM,external,AVAILABLE,737,5,20,5,0.43826322930800543,0.21660358138341299,0.04603114625400289,0.3144620234136021,0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,ac0cb2087ca4c1cced3709c340620e0b19b7b5d04a0306eac179063d07ff79fa,a88141ba24cf9724a57b0dd59b650297a862abfc595f704077072864a0373ed2,PSFCE-REVISED-CORE10-REPLACEMENT-20260921-V1
