dataset,method,ACC,NMI,ARI,F1
BBC News Sport,MCLA,0.44504748982360925,0.28746086249489733,0.12918247846492156,0.41029436329472097
BBC News Sport,HBGF,0.44595205789235637,0.2593597264503748,0.1663083198739329,0.4551784704767839
BBC News Sport,CEHM,0.41655359565807326,0.17277955181392166,0.03389441368979302,0.2585757843265946
BBC News Sport,YACHT,0.49886928991406604,0.34112843440705554,0.21369610948505366,0.5328494997045804
BBC News Sport,RANGE,0.5219357756671189,0.3781894457515662,0.24058520649207357,0.5620754308075934
BBC News Sport,GPEC,0.4866576209859792,0.3035530648894052,0.14817502973756505,0.5106414051517664
BBC News Sport,PSF-CE,0.4029850746268657,0.20849180207468362,0.062491966148296905,0.344761332450595
Leukemia,MCLA,0.7129629629629629,0.1338388944798461,0.1702817069473995,0.7005022580509012
Leukemia,HBGF,0.7175925925925926,0.14236528247438887,0.17848589888093294,0.7059046975900055
Leukemia,CEHM,0.7083333333333334,0.12531250648530332,0.16207751501386602,0.6950998185117966
Leukemia,YACHT,0.5925925925925926,0.05400754459089005,0.04570609739984521,0.5877941703807719
Leukemia,RANGE,0.6712962962962963,0.09438753377811726,0.10845060248630245,0.6613529778869726
Leukemia,GPEC,0.6898148148148149,0.10985002013171029,0.13526405875008424,0.6782263981993847
Leukemia,PSF-CE,0.7083333333333334,0.12531250648530332,0.16207751501386602,0.6950998185117966
Caltech101-20,MCLA,0.2692092763341716,0.4098273080158598,0.17535463081167024,0.22056750982179926
Caltech101-20,HBGF,0.2592903045543448,0.3757266167964028,0.14970152601948986,0.21679950703582687
Caltech101-20,CEHM,0.26571668063704945,0.3952276154363427,0.15111945475694208,0.20529865155575175
Caltech101-20,YACHT,0.26669460743224366,0.40309122878926257,0.17278130828673952,0.1988892534725364
Caltech101-20,RANGE,0.2669740150880134,0.3886289885297296,0.16618345694000106,0.22006646428282553
Caltech101-20,GPEC,0.2984073763621123,0.39308487381839646,0.1867159432603137,0.22285559652364076
Caltech101-20,PSF-CE,0.26082704666107853,0.3995215315830893,0.15165213289448454,0.20425389338094893
Leukemia2,MCLA,0.6296296296296297,0.40568089350969583,0.3402892728582594,0.5740903789943513
Leukemia2,HBGF,0.6111111111111112,0.37690653304150706,0.29088510036497456,0.5981068956124358
Leukemia2,CEHM,0.5509259259259259,0.36630694911863765,0.21816022421655115,0.44813405342522517
Leukemia2,YACHT,0.6296296296296297,0.3370496436593613,0.2670560838652122,0.6257403023518129
Leukemia2,RANGE,0.6574074074074073,0.36376386602571364,0.3081067173766638,0.6504720813002128
Leukemia2,GPEC,0.6064814814814815,0.44178678880289923,0.33045527094447585,0.5333272703020603
Leukemia2,PSF-CE,0.601851851851852,0.4674327176160329,0.34445302044529186,0.49296730512535986
Chameleon,MCLA,0.32557458644415166,0.06270339030511934,0.046028046499206436,0.27420374233127254
Chameleon,HBGF,0.3031766944810423,0.05444038596985226,0.041576699360781615,0.3015741572015881
Chameleon,CEHM,0.33055189576928706,0.0670514664781686,0.0492933694809141,0.2773595991247996
Chameleon,YACHT,0.3203044942175377,0.0790832444943964,0.050465814185546326,0.31773404171267733
Chameleon,RANGE,0.32630654369784806,0.0787544368465547,0.04379995047938018,0.32283194951197736
Chameleon,GPEC,0.3347972478407261,0.07568351238002323,0.04643040728242673,0.32858792160899447
Chameleon,PSF-CE,0.3227931488801054,0.0645215350884266,0.04731928782586333,0.2713430424915679
Amazon Photo,MCLA,0.5079302832244009,0.411659489422804,0.2833944498528781,0.4252606993564081
Amazon Photo,HBGF,0.46034858387799565,0.37711520712513796,0.24609638897719358,0.4515177467172762
Amazon Photo,CEHM,0.5888453159041395,0.5543527942272419,0.3576891552525927,0.5230390133038324
Amazon Photo,YACHT,0.453115468409586,0.38973277730458733,0.2639838705277793,0.41874649964854677
Amazon Photo,RANGE,0.5026579520697168,0.4093175460436662,0.2959767416521568,0.4993129775578092
Amazon Photo,GPEC,0.4366013071895425,0.3540866566173428,0.24315681960867488,0.4173291341884777
Amazon Photo,PSF-CE,0.5912854030501089,0.539975141280013,0.3696355405219945,0.5209606887761241
ORL,MCLA,0.7616666666666667,0.8743594812978012,0.6739698299475098,0.7616892021551632
ORL,HBGF,0.735,0.8611477401907607,0.6455005287120544,0.7348789280869642
ORL,CEHM,0.6558333333333334,0.8412422198479813,0.42521618276517065,0.6596636580069314
ORL,YACHT,0.7291666666666666,0.8553416201017584,0.6219768406418905,0.7219055735043466
ORL,RANGE,0.7541666666666668,0.8769423944672607,0.6603719253491817,0.7513086273021085
ORL,GPEC,0.7041666666666666,0.8673742667669467,0.6201090914042966,0.6814475188817816
ORL,PSF-CE,0.6591666666666667,0.8383765883539679,0.46548510155805706,0.6555866589798875
ACM,MCLA,0.6590633608815427,0.3977442190659201,0.38730684582534886,0.6452160255807745
ACM,HBGF,0.6588429752066115,0.35221553984801773,0.33807677356704785,0.6612195890208911
ACM,CEHM,0.6815426997245179,0.4518189917636659,0.4145635347208895,0.6871225505826768
ACM,YACHT,0.6879338842975207,0.4537944330707366,0.41643987014889045,0.6941080718093797
ACM,RANGE,0.7921763085399448,0.4990678880431129,0.5090851625658087,0.7921658540777687
ACM,GPEC,0.6910192837465564,0.45709584674145126,0.423310084115425,0.6959168168591884
ACM,PSF-CE,0.6846280991735537,0.4584156699714208,0.4158671850895992,0.6912323283244156
Iris,MCLA,0.8222222222222223,0.6491028598356142,0.604079174043748,0.8220067941706598
Iris,HBGF,0.8222222222222223,0.6246921038334594,0.5932234514448013,0.8230672740476662
Iris,CEHM,0.8222222222222223,0.6494354999847807,0.6041100530928961,0.8218983499832682
Iris,YACHT,0.7733333333333334,0.5534478668385243,0.5110061265713738,0.7786898562191272
Iris,RANGE,0.811111111111111,0.614914824576596,0.5772690578355029,0.8118378488004009
Iris,GPEC,0.82,0.6472354925462869,0.6009896706659298,0.8197267886011805
Iris,PSF-CE,0.8177777777777777,0.6371750880827056,0.594086848920786,0.8178311533722119
Mushroom,MCLA,0.7098309535532579,0.15268794775804942,0.2001917931642977,0.7049855556678774
Mushroom,HBGF,0.7224684063679633,0.16872001796439637,0.22121098812354487,0.7223787422667475
Mushroom,CEHM,0.7313720663055966,0.30837699019180254,0.21373788546350173,0.7039524483661452
Mushroom,YACHT,0.5451337600525193,0.008537293573133884,0.011714372406639821,0.5410166363673153
Mushroom,RANGE,0.6644099786640406,0.08911344555317526,0.1140141361610475,0.6575782106781154
Mushroom,GPEC,0.7076563269325455,0.16767652838105876,0.18026863712983068,0.6936495443632653
Mushroom,PSF-CE,0.7286230100114887,0.2753553153750247,0.20870398236200716,0.7023741250439676
