comparator,metric,mean_delta,median_delta,wins,ties,losses,wilcoxon_statistic,raw_p,n_datasets,holm_p
MCLA,ACC,-0.006486601970978489,-0.004537037037037062,3,0,7,20.0,0.4921875,10,1.0
MCLA,NMI,0.022951254972506045,-0.003354121605617759,5,0,5,22.0,0.625,10,1.0
MCLA,ARI,-0.018830564763499296,-0.003456475303438289,5,0,5,23.0,0.6953125,10,1.0
MCLA,F1,-0.014240618296705327,-0.004789040168776237,2,0,8,15.0,0.232421875,10,0.9296875
HBGF,ACC,0.004226646372659076,-0.0014538511688554356,5,0,5,27.0,0.984375,10,1.0
HBGF,NMI,0.04218887422163699,0.018138949517966352,7,0,3,13.0,0.16015625,10,0.9609375
HBGF,ARI,-0.004929309454450731,0.0014070021754897105,6,0,4,27.0,1.0,10,1.0
HBGF,F1,-0.02742156615993103,-0.016275115438828924,2,0,8,12.0,0.130859375,10,0.78515625
CEHM,ACC,0.0026374343219352004,-0.001374528147053966,4,1,5,17.0,0.5703125,10,1.0
CEHM,NMI,0.008267331056282145,-0.0012649656948710009,4,1,5,21.0,0.91015625,10,1.0
CEHM,ARI,0.019191079232712946,0.0009181642531260609,6,1,3,12.0,0.25,10,1.0
CEHM,F1,0.011626641926985325,-0.001311540748490242,3,1,6,22.0,1.0,10,1.0
YACHT,ACC,0.0281497685487135,-0.0004085652306996257,5,0,5,22.0,0.625,10,1.0
YACHT,NMI,0.05393638090809614,0.037963099397548744,6,0,4,16.0,0.275390625,10,1.0
YACHT,ARI,0.02469460872612758,0.03841212576039421,5,0,5,23.0,0.6953125,10,1.0
YACHT,F1,-0.0021063558714219527,0.0012444482117242167,5,0,5,27.0,1.0,10,1.0
RANGE,ACC,-0.019017064317533323,-0.004830181622338753,4,0,6,20.0,0.4921875,10,1.0
RANGE,NMI,0.022149752629517527,0.01657640327973467,6,0,4,22.0,0.625,10,1.0
RANGE,ARI,-0.020207037655787203,0.010168564215883146,6,0,4,27.0,1.0,10,1.0
RANGE,F1,-0.05325920757489093,-0.03365073896114304,4,0,6,13.0,0.16015625,10,0.80078125
GPEC,ACC,0.00026692860124056806,-0.005510407101316117,3,0,7,21.0,0.556640625,10,1.0
GPEC,NMI,0.019715084483514694,0.0038782404973311813,6,0,4,22.0,0.625,10,1.0
GPEC,ARI,-0.009310243211877595,-0.0030069706008535903,5,0,5,25.0,0.845703125,10,1.0
GPEC,F1,-0.01852980482228651,-0.011643095838732298,3,0,7,16.0,0.275390625,10,0.9296875
