dataset,pool,method,n,requested_c,returned_c,largest_cluster_share,length_ok,finite,bp_hash_match,param_hash_match,output_hash_match,commit_match,seed
100Leaves,1,CEHM,1600,100,87,0.040625,True,True,True,True,True,True,2027
100Leaves,0,CEHM,1600,100,91,0.043125,True,True,True,True,True,True,2027
100Leaves,2,CEHM,1600,100,91,0.038125,True,True,True,True,True,True,2027
10X PBMC,1,CEHM,4271,8,2,0.7363615078435963,True,True,True,True,True,True,2027
10X PBMC,2,CEHM,4271,8,7,0.5715289159447436,True,True,True,True,True,True,2027
10X PBMC,0,CEHM,4271,8,4,0.7279325684851323,True,True,True,True,True,True,2027
3Sources,0,CEHM,169,6,1,1.0,True,True,True,True,True,True,2027
3Sources,1,CEHM,169,6,1,1.0,True,True,True,True,True,True,2027
3Sources,2,CEHM,169,6,1,1.0,True,True,True,True,True,True,2027
ALOI,0,CEHM,10800,100,16,0.8939814814814815,True,True,True,True,True,True,2027
ALOI,2,CEHM,10800,100,14,0.9032407407407408,True,True,True,True,True,True,2027
ALOI,1,CEHM,10800,100,14,0.9048148148148148,True,True,True,True,True,True,2027
Actor,0,CEHM,7600,5,2,0.9917105263157895,True,True,True,True,True,True,2027
Actor,1,CEHM,7600,5,2,0.9917105263157895,True,True,True,True,True,True,2027
Actor,2,CEHM,7600,5,2,0.9917105263157895,True,True,True,True,True,True,2027
Amazon Computers,0,CEHM,13752,10,1,1.0,True,True,True,True,True,True,2027
Amazon Computers,1,CEHM,13752,10,1,1.0,True,True,True,True,True,True,2027
Amazon Computers,2,CEHM,13752,10,1,1.0,True,True,True,True,True,True,2027
BBC-MV,0,CEHM,685,5,1,1.0,True,True,True,True,True,True,2027
BBC-MV,2,CEHM,685,5,2,0.9985401459854014,True,True,True,True,True,True,2027
BBC-MV,1,CEHM,685,5,2,0.9985401459854014,True,True,True,True,True,True,2027
BBCSport-MV,0,CEHM,544,5,1,1.0,True,True,True,True,True,True,2027
BBCSport-MV,1,CEHM,544,5,1,1.0,True,True,True,True,True,True,2027
BBCSport-MV,2,CEHM,544,5,1,1.0,True,True,True,True,True,True,2027
COIL100,0,CEHM,7200,100,93,0.07972222222222222,True,True,True,True,True,True,2027
COIL100,2,CEHM,7200,100,90,0.06277777777777778,True,True,True,True,True,True,2027
COIL100,1,CEHM,7200,100,91,0.07486111111111111,True,True,True,True,True,True,2027
