dataset,pool,group,n,c,M,bp_sha256,matches_V2_metadata,V2_BP_hash_available
100Leaves,0,MULTI_RELATION_7,1600,100,20,95403c7b37e347aab6b29b87515ec42dfbf1c5b7ab13383a19dd47dd02031b2a,True,False
100Leaves,1,MULTI_RELATION_7,1600,100,20,a2a8276aaeb36f4edf5f20ced589800009568a0c73416d89e27450eece816779,True,False
100Leaves,2,MULTI_RELATION_7,1600,100,20,94e363d4d59e44369c58a104a40610f285ca47a0414b4fe12433184dd000db43,True,False
10X PBMC,0,BKCC_V2,4271,8,20,04b86e92dac88ad430df5c378effe9ecaa3e03d0acd536aa97a6ca5d70ad04fd,True,False
10X PBMC,1,BKCC_V2,4271,8,20,0abccd7b02b28a0a269a080cc1a9b8a7ca43e753b76702d7409a2d78546e2b89,True,False
10X PBMC,2,BKCC_V2,4271,8,20,5d285b3cefdc0bea5fb2ae725d2d119738605d1307a9bc40c65019906db34e89,True,False
11_Tumors,0,NEW10,174,11,20,0bfc6ef76987abd279c8566686e069cc09393efd8d3253aaabae3c2f73190315,True,False
11_Tumors,1,NEW10,174,11,20,d0c225c0e1fbd9be43e35734c4a56661fe9b33b3341669056daa522b530619e4,True,False
11_Tumors,2,NEW10,174,11,20,5a81c2a7d1a78b6297a7e4fdb5b9824a501fedff16821594cf7e37b8c44cac14,True,False
3Sources,0,TEXT_MV,169,6,20,0ba3372c4c7b9193593d87f21d08267cfbbe86b05d82a8ac01334f85ed774da6,True,False
3Sources,1,TEXT_MV,169,6,20,f22f57a4755c1f681dd2868b3bf4acb243a533d2fb47175dad715dbc73d0cbbc,True,False
3Sources,2,TEXT_MV,169,6,20,e57270505149c0c0c501dbd8b1183b6123988cea7f183676c06db1dbe33ee4b9,True,False
ACM,0,CONTENT_RELATION_8,3025,3,20,1e00e38f7f05f47b2d51c9772d31fb973882a9547a83d118fa6fa79aa7bf5dc3,True,False
ACM,1,CONTENT_RELATION_8,3025,3,20,5537c3292c238df345ae38802277345ad40210044bb5dab020423b9107dac6b0,True,False
ACM,2,CONTENT_RELATION_8,3025,3,20,a3c20758d347ac03fa92348ab56a2790b2dbc6c8b00fef9cc61dd4e7820d63fd,True,False
ALOI,0,MULTI_RELATION_7,10800,100,20,0634bb92bad378d6412a5815c8aee0b3ee03a0de99a13c970aea13273410cdd1,True,False
ALOI,1,MULTI_RELATION_7,10800,100,20,17a04dcbe02e8a475761df82f9761bad81dbccaf52063560a1207cbc6c1f7dab,True,False
ALOI,2,MULTI_RELATION_7,10800,100,20,ef097645fbdef11b7950526664a985ecb6d08bc7c0f8e680054c2b33676a7230,True,False
Actor,0,GRAPH_GEOMETRY_8,7600,5,20,e1c2794030d4e6bfb32b3cc042fd19142822dfa0d8a55c89412d3d2a7afcd44a,True,False
Actor,1,GRAPH_GEOMETRY_8,7600,5,20,3f36458d1750a3d9fda6f861c71657197e997638e0eabd57522a27335fb7a91a,True,False
Actor,2,GRAPH_GEOMETRY_8,7600,5,20,763db49b232bf7e5f7129ae47a9c2a27ff83250a0e5d7cbeb40c4641920022ac,True,False
Amazon Computers,0,MULTI_RELATION_7,13752,10,20,d00d3148b54931b380f8b2a819ce462f21b98efb085916d0fb8ccfff1c7ada74,True,False
Amazon Computers,1,MULTI_RELATION_7,13752,10,20,1da0af8c9eae54f3882d22743371decaaaa2ff447ee064c27f0252207f6a35e3,True,False
Amazon Computers,2,MULTI_RELATION_7,13752,10,20,309a3a538c71cc93884214123debd90f0079040f1c66ea03a6356d25e9b8992e,True,False
Amazon Photo,0,MULTI_RELATION_7,7650,8,20,5bbd77ec83138d6bf1ac9ff862431541dd8ae61905d6b42899e85b27dd531bd9,True,False
Amazon Photo,1,MULTI_RELATION_7,7650,8,20,96f90f3c8bdf971c0afcb360540a74f89d3314ee8a6c6a2b3c66359060f11bea,True,False
Amazon Photo,2,MULTI_RELATION_7,7650,8,20,c6d3c273af5109c9e8377a63b2898cec022a777f7b6fef6320379d0ef020ec4f,True,False
BBC News Sport,0,BKCC_V2,737,5,20,1aa98ab12c053d78cfe7003cbb2eba3ee379efd1841b0ccb0738343d0bc54915,True,False
BBC News Sport,1,BKCC_V2,737,5,20,f8b9f498387e67883690045f687eb45d9b2cd7c04820d8ed0227154360669370,True,False
BBC News Sport,2,BKCC_V2,737,5,20,4ca48b8c6140768fae9671c02f7ecad0ecb65f3cad431d58766e55ffacdcd809,True,False
BBC-MV,0,TEXT_MV,685,5,20,180b10cbea34cb381517ecbf43309e4088b7f045e498fe43aabd39481f3e94cb,True,False
BBC-MV,1,TEXT_MV,685,5,20,e90de8b07ff8d83432029d11be688a3988b07dddfe47c81b97ee3d65950e4dad,True,False
BBC-MV,2,TEXT_MV,685,5,20,91d30339f35f7898389a8aec2fea225608414f6e8d254eddda24b5d8540d31a0,True,False
BBCSport-MV,0,TEXT_MV,544,5,20,48f4b74d591ddc5523db81a59b79358865cf590979f4a3d4f13a36348339794e,True,False
BBCSport-MV,1,TEXT_MV,544,5,20,018a4443dbc6aebc4f15dd46f2c0c5c204e38d0abbc92f390d0164a27ae4902d,True,False
BBCSport-MV,2,TEXT_MV,544,5,20,4a9630cf5b64b20f4a1810f4615ef537ddb0427977919938d3ce4adf740c4ade,True,False
COIL100,0,NEW10,7200,100,20,fe7c1340f70fb16dacb0db58af4097beef52f69f97b3217c96448f9ac1ccef2d,True,False
COIL100,1,NEW10,7200,100,20,86fb02f84b81129866d112889cdb5ec828442bb8599b9d944a21d1a3e8f71a65,True,False
COIL100,2,NEW10,7200,100,20,84623335c0aeb37ffed38419cddb41419317c79b1de0e2c4b3850aa17550ef84,True,False
COIL20,0,BKCC_V2,1440,20,20,123ffa6349a13c5b7b24299eccadfac5a367a8a51f7fab1a415e4883059e9323,True,False
COIL20,1,BKCC_V2,1440,20,20,534d965ca580aa4ae63975b179929245508feb1ae61bd403a77de491b259fab0,True,False
COIL20,2,BKCC_V2,1440,20,20,7dfcbb2092e1618f7f3a0261363cb6bd1d35e7971bd833b2c06c0b4220f2fa9e,True,False
Caltech101-20,0,NEW10,2386,20,20,a5cb76e206e7fc72f7092475d0b1189b34693bc62b05a4c0543a9000ae9d0f0f,True,False
Caltech101-20,1,NEW10,2386,20,20,bb1e6758f34293ddaa2f0d7c41703fff8e6c6b7fd46f536d3d13969c0f3db479,True,False
Caltech101-20,2,NEW10,2386,20,20,caddd0275c91628cae4244f670910e428a1f9e65f5e16264146277e9c84b548b,True,False
Caltech101-20-MV,0,TEXT_MV,2386,20,20,e13ca7cdd4491ed937d911f0aaa5f7e8b20a6afe7a889533d6f42a3309e942da,True,False
Caltech101-20-MV,1,TEXT_MV,2386,20,20,917b64714e8cb1dbf22b48d18c54a0f55f6442d6dd050fea3d7bfc48c43abd69,True,False
Caltech101-20-MV,2,TEXT_MV,2386,20,20,47ec93201008b7d86a39483609fc58e9ea4c7031f2fe85d04dd4e6ca0fcbf559,True,False
Cardiotocography,0,NEW10,2126,10,20,48e4c67eabdcbeafc97c9b1f19925f6e504801a882de7f8606f6604d79916d38,True,False
Cardiotocography,1,NEW10,2126,10,20,772ba07fb9057d091b0e68e3f43b7015d1983aa6afbea6e0ec91465b78c5a567,True,False
Cardiotocography,2,NEW10,2126,10,20,1ae66a72cb43602d4bab6a548e7aa35e78dc62f48dd57604083b5b6382809772,True,False
Chameleon,0,GRAPH_GEOMETRY_8,2277,5,20,7dd0036afa6c0b334862350d9ac54d4048fd7fcc2f34132551d64086bc862bfa,True,False
Chameleon,1,GRAPH_GEOMETRY_8,2277,5,20,a5328a887c72f5b4bc656215d3395edd6135662bb317857777f894032a3893fb,True,False
Chameleon,2,GRAPH_GEOMETRY_8,2277,5,20,5c84016ffaf63148cb869e8801ade7be1b71ed28e7308189832a0f9e17eb9906,True,False
CiteSeer,0,CONTENT_RELATION_8,3312,6,20,c54a4a350ca5a40f0fb763fc2902a5af60489170a208e7d17cd9162179423f93,True,False
CiteSeer,1,CONTENT_RELATION_8,3312,6,20,4e3dc95ec3ef779b3fc4a0f6dc74056b8ddf7618cf8ca08fede89997934a5fb9,True,False
CiteSeer,2,CONTENT_RELATION_8,3312,6,20,4318f3ef0399825af7ca74e28ac4d939757682886910402b11d13dc687253524,True,False
Coauthor CS,0,GRAPH_GEOMETRY_8,18333,15,20,15614d71c8184d2874189ad803b3acbd1f9cf49068625776091f9f332f17e5e9,True,False
Coauthor CS,1,GRAPH_GEOMETRY_8,18333,15,20,0df78e5288c95b32ee4c30b9c236351e0db2e6877685eafa85ad34434f119406,True,False
Coauthor CS,2,GRAPH_GEOMETRY_8,18333,15,20,4bc00bcee601f952d26d16ba09581d349e4a5ef356814d98c7bc5b15ff2dcddb,True,False
Coauthor Physics,0,GRAPH_GEOMETRY_8,34493,5,20,5890fc4f7208f5ad391a10e51011fe2ab9c28fb1ecc727975a409e71b1d4fffd,True,False
Coauthor Physics,1,GRAPH_GEOMETRY_8,34493,5,20,fbd153391b5f20b5b1a035b9b27119d06607e553240381dbf368db5e50a57bf0,True,False
Coauthor Physics,2,GRAPH_GEOMETRY_8,34493,5,20,129f6cab75d88426e9f162e88d326bcf79514077b3948ed15ceef96c1fd4fb95,True,False
Cora,0,CONTENT_RELATION_8,2708,7,20,64915423bd212e2e8e0cce2ac479a514d046bd8325b25f97f5d09b107215ac8d,True,False
Cora,1,CONTENT_RELATION_8,2708,7,20,ac139c106d43630572a04a27d494373acc22ff87010f068321c0881b4de63309,True,False
Cora,2,CONTENT_RELATION_8,2708,7,20,0c50a57e5b2840ff3dc5e8b3fc62a1fb8c4503b4521446970ae9e3451382aeea,True,False
CoraFull,0,GRAPH_GEOMETRY_8,19793,70,20,03e1be76bc4ac2a413427a39622f831e57cb7c62a49b14e706adea9a382b2f54,True,False
CoraFull,1,GRAPH_GEOMETRY_8,19793,70,20,91a9b625e7275d3a916782d2ba275cb81e64ef6bf1bd73cc19cc749c4cba02f4,True,False
CoraFull,2,GRAPH_GEOMETRY_8,19793,70,20,93f7eb385ba849599d9df4b00a75b7520c7db41b9234d56263a1831dce1be5b7,True,False
DBLP,0,MULTI_RELATION_7,4057,4,20,960b8b211bb361d665957f8462fbcf69e2c09e520e9a234522f54b3393a52eab,True,False
DBLP,1,MULTI_RELATION_7,4057,4,20,7a060e9c94280370cc66e2e5565d7c6cad169b5439c41c88bbbde553d5be09b3,True,False
DBLP,2,MULTI_RELATION_7,4057,4,20,e7f463cc0337b060346f006e1604bda79d7b2d8c6b4df05fdea5528b141e6fea,True,False
Extended Yale-B,0,NEW10,2414,38,20,a1de59baa9b4d096af3be17bf729a428656a838ab8dbe84806050cb88fb72d41,True,False
