name,pool,path,group,split,source_id,task_family,n,c,M,k_min,k_max
Wine,0,data/frozen_bp/dev/wine__pool0.npz,phaseA15_nonoverlap,dev,,,178,3,20,2,6
Seeds,0,data/frozen_bp/dev/seeds__pool0.npz,phaseA15_nonoverlap,dev,,,210,3,20,2,6
Glass,0,data/frozen_bp/dev/glass__pool0.npz,phaseA15_nonoverlap,dev,,,214,6,20,5,12
Breast Cancer,0,data/frozen_bp/dev/breastcancer__pool0.npz,phaseA15_nonoverlap,dev,,,569,2,20,2,4
Segment,0,data/frozen_bp/dev/segment__pool0.npz,phaseA15_nonoverlap,dev,,,2310,7,20,6,14
Semeion,0,data/frozen_bp/dev/semeion__pool0.npz,phaseA15_nonoverlap,dev,,,1593,10,20,8,20
Optdigits,0,data/frozen_bp/dev/optdigits__pool0.npz,phaseA15_nonoverlap,dev,,,5620,10,20,8,20
Sat,0,data/frozen_bp/dev/sat__pool0.npz,phaseA15_nonoverlap,dev,,,6430,6,20,5,12
Multiple Features,0,data/frozen_bp/dev/multiplefeatures__pool0.npz,phaseA15_nonoverlap,dev,,,2000,10,20,8,20
Yale,0,data/frozen_bp/dev/yale__pool0.npz,phaseA15_nonoverlap,dev,,,165,15,20,12,30
MNIST4000,0,data/frozen_bp/dev/mnist4000__pool0.npz,phaseA15_nonoverlap,dev,,,4000,10,20,8,20
USPS,0,data/frozen_bp/dev/usps__pool0.npz,phaseA15_nonoverlap,dev,,,9298,10,20,8,20
100Leaves,0,data/frozen_bp/formal/100leaves__pool0.npz,MULTI_RELATION_7,formal,,,1600,100,20,80,200
100Leaves,1,data/frozen_bp/formal/100leaves__pool1.npz,MULTI_RELATION_7,formal,,,1600,100,20,80,200
100Leaves,2,data/frozen_bp/formal/100leaves__pool2.npz,MULTI_RELATION_7,formal,,,1600,100,20,80,200
10X PBMC,0,data/frozen_bp/formal/10xpbmc__pool0.npz,BKCC_V2,formal,,,4271,8,20,10,66
10X PBMC,1,data/frozen_bp/formal/10xpbmc__pool1.npz,BKCC_V2,formal,,,4271,8,20,6,66
10X PBMC,2,data/frozen_bp/formal/10xpbmc__pool2.npz,BKCC_V2,formal,,,4271,8,20,3,63
11_Tumors,0,data/frozen_bp/formal/11tumors__pool0.npz,NEW10,formal,,,174,11,20,9,22
11_Tumors,1,data/frozen_bp/formal/11tumors__pool1.npz,NEW10,formal,,,174,11,20,9,22
11_Tumors,2,data/frozen_bp/formal/11tumors__pool2.npz,NEW10,formal,,,174,11,20,9,22
3Sources,0,data/frozen_bp/formal/3sources__pool0.npz,TEXT_MV,formal,,,169,6,20,5,12
3Sources,1,data/frozen_bp/formal/3sources__pool1.npz,TEXT_MV,formal,,,169,6,20,5,12
3Sources,2,data/frozen_bp/formal/3sources__pool2.npz,TEXT_MV,formal,,,169,6,20,5,12
ACM,0,data/frozen_bp/formal/acm__pool0.npz,CONTENT_RELATION_8,formal,,,3025,3,20,2,6
ACM,1,data/frozen_bp/formal/acm__pool1.npz,CONTENT_RELATION_8,formal,,,3025,3,20,2,6
ACM,2,data/frozen_bp/formal/acm__pool2.npz,CONTENT_RELATION_8,formal,,,3025,3,20,2,6
ALOI,0,data/frozen_bp/formal/aloi__pool0.npz,MULTI_RELATION_7,formal,,,10800,100,20,80,200
ALOI,1,data/frozen_bp/formal/aloi__pool1.npz,MULTI_RELATION_7,formal,,,10800,100,20,80,200
ALOI,2,data/frozen_bp/formal/aloi__pool2.npz,MULTI_RELATION_7,formal,,,10800,100,20,80,200
