dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
11_Tumors,0,w/o interaction,CA,174,11,20,0.5402298850574713,0.594343388947255,0.3762520040343654,0.4321958848422362,0.1486898000002838,ok
11_Tumors,1,w/o interaction,CA,174,11,20,0.5632183908045977,0.595249034315122,0.3776917386295071,0.4498412719976988,0.1349626000010175,ok
3Sources,0,w/o interaction,CA,169,6,20,0.408284023668639,0.1772645757734948,0.0028995941058213,0.201423097974822,0.0731546000024536,ok
11_Tumors,2,w/o interaction,CA,174,11,20,0.5862068965517241,0.6152280179026425,0.4159713964612975,0.4641277749344252,0.1341893000062555,ok
10X PBMC,0,w/o interaction,CA,4271,8,20,0.7424490751580426,0.7569520411157957,0.6395566544365153,0.5619761647658187,0.2851443999970797,ok
10X PBMC,1,w/o interaction,CA,4271,8,20,0.7173963942870523,0.740645052997671,0.629163857434528,0.4452508563399037,0.2962502000009408,ok
10X PBMC,2,w/o interaction,CA,4271,8,20,0.7120112385858113,0.7480145663599032,0.6451280121148394,0.4878584074130178,0.3139312999992398,ok
3Sources,1,w/o interaction,CA,169,6,20,0.4319526627218935,0.1737893926635824,0.0133312212337817,0.2390796663221246,0.0729833999939728,ok
3Sources,2,w/o interaction,CA,169,6,20,0.4142011834319526,0.1553815867366423,-0.0028474053360781,0.17637728125533,0.1082869000092614,ok
ACM,0,w/o interaction,CA,3025,3,20,0.6829752066115703,0.4531837744509407,0.4121622719497231,0.6897876511544193,0.1176063000020803,ok
ACM,1,w/o interaction,CA,3025,3,20,0.6813223140495868,0.4566254992741328,0.4116695499606394,0.6883559978928658,0.1058474000019487,ok
ACM,2,w/o interaction,CA,3025,3,20,0.6866115702479338,0.4616339222678779,0.420195319413697,0.692706299791889,0.1177505999949062,ok
Actor,0,w/o interaction,CA,7600,5,20,0.2609210526315789,0.0008765542957394,0.001062276724784,0.1165162715908819,0.3082518000010168,ok
Actor,1,w/o interaction,CA,7600,5,20,0.2609210526315789,0.0008788946638479,0.0010406981569974,0.1166232187300496,0.3127659000019775,ok
Actor,2,w/o interaction,CA,7600,5,20,0.2609210526315789,0.0008772606957643,0.0010861730826213,0.1165129360360753,0.3694282999931602,ok
Amazon Computers,0,w/o interaction,CA,13752,10,20,0.5363583478766725,0.4608807666253677,0.3132151587452422,0.5331743973205031,1.786926000000676,ok
Amazon Computers,1,w/o interaction,CA,13752,10,20,0.5170157068062827,0.4500189318170028,0.2953328817119302,0.5245782521087636,1.966125999999349,ok
Amazon Photo,0,w/o interaction,CA,7650,8,20,0.5922875816993464,0.5398441715495762,0.3694906022928648,0.5216020248703815,0.5843080000049667,ok
Amazon Photo,1,w/o interaction,CA,7650,8,20,0.5916339869281045,0.5408217254596505,0.3704751833016291,0.5217184284529022,0.6041315000038594,ok
Amazon Computers,2,w/o interaction,CA,13752,10,20,0.5205788248981966,0.4457249839541755,0.2916378872729597,0.5252665769742129,1.830036999992444,ok
BBC News Sport,0,w/o interaction,CA,737,5,20,0.3812754409769335,0.2321041064947627,0.1002137448844089,0.3015773740983036,0.1161820999986957,ok
