dataset,pool,group,task_family,split,source_id,method,params,status,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,spectral_seconds,objective,rounding_objective,eig_max,eig_min_topc,commutator_ratio,interaction_scale,solver,rounding,sweeps,moves,history_json,rounding_candidates_json,skip_reason
11_Tumors,0,NEW10,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.18539240000245627,0.0028331000066827983,,5.87616900648075,2.120937817326919,0.030009484929008665,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.760301914463793, ""kmeans_norm"": 4.809440650474205, ""kmeans_raw"": 5.87616900648075}",
11_Tumors,0,NEW10,,formal,,CA,{},ok,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.14868980000028387,0.002453099994454533,,7.632724028317147,0.999999999999996,0.48316416198341805,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 7.435323387759279, ""kmeans_norm"": 6.453195630741413, ""kmeans_raw"": 7.632724028317147}",
11_Tumors,0,NEW10,,formal,,LinearPair,"{""lambda"": 3.0}",ok,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.14467429999785963,0.002503299998352304,,27.809411628646973,5.064543603493832,1.2043786790268967,2.0306515524502005e-16,1.411103548431304,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 24.522038392055492, ""kmeans_norm"": 21.74844199496468, ""kmeans_raw"": 27.809411628646973}",
11_Tumors,0,NEW10,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.11667859999579377,0.002584100002422929,,12.127651606405239,1.8565390316958803,0.7052235318138471,0.0023591512603616145,1.4363408887209181,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 11.505342656586784, ""kmeans_norm"": 10.531668451191424, ""kmeans_raw"": 12.127651606405239}",
11_Tumors,0,NEW10,,formal,,Poly2,"{""eta"": 8.0}",ok,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.1455833999934839,0.0025670000031823292,,46.50872251900418,8.703956016654262,1.988302214021381,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 41.904410175471114, ""kmeans_norm"": 36.116040332384514, ""kmeans_raw"": 46.50872251900418}",
11_Tumors,1,NEW10,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,174,11,20,0.5632183908045977,0.595249034315122,0.37769173862950717,0.44984127199769885,0.2293437000043923,0.00305649999063462,,5.805233269856846,2.047630871461673,0.025343827876227687,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.746302407724972, ""kmeans_norm"": 5.491258301428623, ""kmeans_raw"": 5.805233269856846}",
11_Tumors,1,NEW10,,formal,,CA,{},ok,174,11,20,0.5632183908045977,0.595249034315122,0.37769173862950717,0.44984127199769885,0.13496260000101756,0.0028695000073639676,,7.512608908848846,0.9999999999999979,0.46080837741267944,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 7.230261865694047, ""kmeans_norm"": 6.983282523882608, ""kmeans_raw"": 7.512608908848846}",
11_Tumors,1,NEW10,,formal,,LinearPair,"{""lambda"": 3.0}",ok,174,11,20,0.5689655172413793,0.6054393183019544,0.3894899352966911,0.4531267052275456,0.15716940000129398,0.002759499999228865,,27.29555714159499,4.926323892245743,1.1493110384241878,1.8635396857184024e-16,1.444242060876155,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 25.62752104103929, ""kmeans_norm"": 22.945222398682528, ""kmeans_raw"": 27.29555714159499}",
11_Tumors,1,NEW10,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,174,11,20,0.6149425287356322,0.6087792320568344,0.44566175550009834,0.5221591439829891,0.14940470000146888,0.002678999997442588,,11.728006998194218,1.8072221999404132,0.6640257075264275,0.0020633685049234432,1.468497291300043,spectral,cluster_qr,0,0,[],"{""cluster_qr"": 11.728006998194218, ""kmeans_norm"": 10.314308021305061, ""kmeans_raw"": 11.6902054777592}",
11_Tumors,1,NEW10,,formal,,Poly2,"{""eta"": 8.0}",ok,174,11,20,0.5689655172413793,0.6054393183019544,0.3894899352966911,0.4531267052275456,0.13096789999690372,0.004533699990133755,,44.81680914201935,8.301964709880991,1.86570330672094,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 39.7910922898805, ""kmeans_norm"": 37.525703782075134, ""kmeans_raw"": 44.81680914201935}",
