dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
100Leaves,6,6,6,1,8,2,3,4
10X PBMC,3,6.5,6.5,3,8,5,1,3
11_Tumors,4,7,3,5,8,6,1,2
3Sources,2.5,2.5,2.5,2.5,8,6,7,5
ACM,7,4,5,6,8,2,1,3
ALOI,4,6,4,4,8,2,1,7
Actor,3,3,3,3,6,7,8,3
Amazon Computers,1,4.5,4.5,3,7,8,6,2
Amazon Photo,1,4.5,4.5,3,6,8,7,2
BBC News Sport,3.5,5.5,5.5,3.5,7,2,1,8
BBC-MV,5,5,5,5,8,1,2,5
BBCSport-MV,4,4,4,4,7,8,1,4
COIL100,4.5,6.5,6.5,4.5,8,2,1,3
COIL20,5,6,7,2,8,3,1,4
Caltech101-20,2.5,7,7,2.5,5,4,1,7
Caltech101-20-MV,2.5,2.5,2.5,2.5,6,8,7,5
Cardiotocography,3.5,1,3.5,3.5,8,7,6,3.5
Chameleon,5.5,3,5.5,5.5,1,8,2,5.5
CiteSeer,5,5,5,5,8,1,2,5
Coauthor CS,3.5,3.5,3.5,3.5,8,7,6,1
Coauthor Physics,4,5,3,6,1,8,7,2
Cora,5.5,3,5.5,5.5,8,2,1,5.5
CoraFull,5.5,4,3,5.5,1,7,8,2
DBLP,5,3,3,3,8,7,6,1
Extended Yale-B,5.5,2,3.5,3.5,7,1,8,5.5
Handwritten,4,4,4,4,1,8,7,4
Human Kidney,4.5,7.5,7.5,4.5,3,2,1,6
IMDB,5,5,5,5,1,2,8,5
Isolet,5,2.5,2.5,2.5,6,7,8,2.5
LandUse-21,5,3,5,5,8,2,1,7
Letter,3.5,1.5,1.5,3.5,6,8,7,5
Leukemia,3.5,3.5,3.5,3.5,3.5,8,7,3.5
Leukemia2,4,7,6,4,8,2,1,4
MFeat-pix,5.5,1.5,1.5,5.5,7,8,4,3
MSRC-v1,4,4,1,4,8,6,7,2
Movies617,5.5,5.5,5.5,5.5,8,1,2,3
NGs,5,5,5,5,8,2,1,5
NUSWIDE-Object-2000,3.5,3.5,3.5,3.5,8,7,6,1
ORL,5,7.5,7.5,5,5,2,1,3
PubMed,7,2,7,7,4,1,3,5
Reuters,2.5,2.5,2.5,2.5,8,7,6,5
Scene15,4,4,4,2,8,7,1,6
Squirrel,5.5,5.5,5.5,5.5,8,2,1,3
UMIST,1,6,4.5,2,4.5,7,8,3
USPS3568,3,6.5,6.5,5,8,2,1,4
WebKB,4,4,4,4,1,7,8,4
WebKB-Cornell,7,7,7,4.5,1,3,2,4.5
WebKB-Texas,3,5.5,5.5,3,1,8,7,3
WebKB-Washington,4,4,4,4,1,8,7,4
WebKB-Wisconsin,5,5,5,5,1,8,2,5
Wiki,2,4.5,4.5,1,8,7,6,3
WikiCS,5,2,5,5,8,7,1,3
Worm Neuron,3.5,5.5,5.5,3.5,8,2,1,7
