variant,dataset,ACC,NMI,ARI,F1
PSF-CE,100Leaves,0.8185416666666666,0.9249927146254923,0.6579565207454654,0.8131420035055692
PSF-CE,10X PBMC,0.723952236010302,0.7484326194692409,0.6379551595442648,0.4983437185000135
PSF-CE,11_Tumors,0.5689655172413793,0.600862091454231,0.40260653046225,0.4648767257698738
PSF-CE,3Sources,0.4161735700197238,0.1663011777797464,0.003638742377112566,0.20411979217861345
PSF-CE,ACM,0.6846280991735537,0.4584156699714208,0.4158671850895992,0.6912323283244156
PSF-CE,ALOI,0.6833641975308642,0.8026014774316449,0.22735758717553897,0.7131316831042923
PSF-CE,Actor,0.2609210526315789,0.0008775698851171999,0.0010630493214675667,0.11655080878566894
PSF-CE,Amazon Computers,0.5239965095986038,0.45138848288950495,0.29849820019645223,0.5263518473143388
PSF-CE,Amazon Photo,0.5912854030501089,0.539975141280013,0.36963554052199443,0.5209606887761241
PSF-CE,BBC News Sport,0.40298507462686567,0.20849180207468362,0.062491966148296864,0.3447613324505949
PSF-CE,BBC-MV,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
PSF-CE,BBCSport-MV,0.4889705882352941,0.254786142068991,0.0877308842181558,0.3456523235833356
PSF-CE,COIL100,0.5241203703703704,0.785312899789207,0.4275666795810987,0.501432622156593
PSF-CE,COIL20,0.700462962962963,0.8112964880692245,0.6467365292047308,0.6846745925113233
PSF-CE,Caltech101-20,0.2608270466610785,0.3995215315830893,0.1516521328944845,0.20425389338094893
PSF-CE,Caltech101-20-MV,0.4800223526124616,0.6237168688727814,0.3620336174305557,0.4483661288072769
PSF-CE,Cardiotocography,0.4084352461586704,0.35808674691229064,0.18005573080551307,0.3589501098713876
PSF-CE,Chameleon,0.3227931488801054,0.0645215350884266,0.0473192878258633,0.2713430424915679
PSF-CE,CiteSeer,0.37882447665056357,0.1462536468546972,0.15655169477170705,0.31027547640510833
PSF-CE,Coauthor CS,0.6126656848306333,0.613138515972724,0.4951622729774036,0.5674509540488476
PSF-CE,Coauthor Physics,0.7787183873056369,0.5966274017387376,0.6934928343119755,0.6906839751023929
PSF-CE,Cora,0.48375184638109303,0.3613695087694788,0.258262019200098,0.3560416242662696
PSF-CE,CoraFull,0.3339059263375941,0.48808600392435536,0.2288447561331588,0.24401098312613856
PSF-CE,DBLP,0.8861227508010844,0.6715503255188654,0.7322139624754304,0.8803210443402639
PSF-CE,Extended Yale-B,0.09624413145539905,0.12473399086567964,0.014309642251677232,0.1020029019619097
PSF-CE,Handwritten,0.9485,0.9045647997037781,0.8902010491769499,0.9489746193655305
PSF-CE,Human Kidney,0.34984126984126984,0.2684961541480039,0.10567871299436553,0.2402473991823135
PSF-CE,IMDB,0.3548387096774193,0.0033648011099123,-0.0010244027338201917,0.30762915340148766
PSF-CE,Isolet,0.6089743589743589,0.050995534336719495,0.06293599500037977,0.5808517073304812
PSF-CE,LandUse-21,0.21555555555555553,0.31223272368558264,0.0997052096267092,0.1702196620400517
PSF-CE,Letter,0.27175,0.3858554789400645,0.1275770340212334,0.2830986294929166
PSF-CE,Leukemia,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117966
PSF-CE,Leukemia2,0.601851851851852,0.46743271761603283,0.34445302044529186,0.49296730512535986
PSF-CE,MFeat-pix,0.8403333333333333,0.811533676421722,0.7499627551212971,0.8376429002589453
PSF-CE,MSRC-v1,0.7380952380952381,0.6801608102524233,0.5951039449060458,0.7049552207331033
PSF-CE,Movies617,0.12209616423554832,0.09990786659044537,0.006841197943334566,0.06107311049867903
PSF-CE,NGs,0.208,0.019240577854226334,4.78712361580198e-05,0.0829658156750414
PSF-CE,NUSWIDE-Object-2000,0.1688333333333333,0.16873379171811362,0.04400079375268917,0.11116621985956136
PSF-CE,ORL,0.6591666666666667,0.8383765883539679,0.46548510155805706,0.6555866589798875
PSF-CE,PubMed,0.5159845142093963,0.158854984438185,0.1119400391005031,0.43648021964514766
PSF-CE,Reuters,0.47244444444444444,0.20761171532570155,0.1682705703302574,0.21095083102887416
PSF-CE,Scene15,0.40527684875510955,0.4204060229486423,0.22841194566545633,0.3946131947862801
PSF-CE,Squirrel,0.23437800422995572,0.010062267095205966,0.004247195636062867,0.19053023526965648
PSF-CE,UMIST,0.41565217391304343,0.6054917776886062,0.2968953768756319,0.41097114870715884
PSF-CE,USPS3568,0.6742375081116158,0.6465863827808077,0.536683243173251,0.6107844241422171
PSF-CE,WebKB,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188668
PSF-CE,WebKB-Cornell,0.34017094017094013,0.08488625666188143,0.023641611938271165,0.2808736162955726
PSF-CE,WebKB-Texas,0.4260249554367201,0.0400511331827437,0.035762309383478366,0.22075867882662492
PSF-CE,WebKB-Washington,0.44637681159420284,0.07478179678145187,0.05479467365053161,0.22968946559719447
PSF-CE,WebKB-Wisconsin,0.31320754716981125,0.0402667409298584,0.015176993102498698,0.2531821748988441
PSF-CE,Wiki,0.5053500814142824,0.4321343134664459,0.3235395708739252,0.48653395360910245
PSF-CE,WikiCS,0.4297638378486169,0.35511322534947815,0.24800146279496307,0.27505039743225485
PSF-CE,Worm Neuron,0.3388278388278388,0.22069259533670324,0.045257105834262436,0.261088415195277
PSF-CE w/o nonlinear filtering,100Leaves,0.8183333333333334,0.9239239831682132,0.6625868411660772,0.8096396874440397
PSF-CE w/o nonlinear filtering,10X PBMC,0.723952236010302,0.74853722015779,0.6379495079952943,0.4983618095062467
PSF-CE w/o nonlinear filtering,11_Tumors,0.5632183908045977,0.6016068137216731,0.38997171304172334,0.44872164392478675
PSF-CE w/o nonlinear filtering,3Sources,0.418145956607495,0.16881185172457316,0.004461136667841633,0.20562668185075886
