dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
100Leaves,81.833333333333343,81.833333333333343,81.833333333333343,85.0625,75.041666666666657,83.020833333333329,82.8125,81.854166666666657
10X PBMC,72.395223601030196,67.314446265511592,67.314446265511592,72.395223601030196,51.338484351830175,70.295793334894256,78.217435417154462,72.395223601030196
11_Tumors,56.321839080459768,54.406130268199234,56.513409961685824,55.938697318007655,51.340996168582379,54.789272030651347,63.026819923371654,56.896551724137936
3Sources,41.814595660749497,41.814595660749497,41.814595660749497,41.814595660749497,33.136094674556212,35.108481262327409,34.911242603550292,41.61735700197238
ACM,68.36363636363636,68.44077134986226,68.429752066115711,68.418732782369148,68.154269972451786,68.793388429752071,79.217630853994478,68.462809917355372
ALOI,69.290123456790127,68.993827160493822,69.290123456790127,69.290123456790127,10.85802469135802,70.688271604938265,74.743827160493822,68.336419753086417
Actor,26.09210526315789,26.09210526315789,26.09210526315789,26.09210526315789,25.907894736842106,24.008771929824558,23.346491228070168,26.09210526315789
Amazon Computers,52.465095986038392,50.419332945510952,50.419332945510952,51.410703897614894,37.507271669575331,32.666763622261001,45.588520457630402,52.399650959860381
Amazon Photo,59.13725490196078,59.037037037037045,59.037037037037045,59.093681917211327,58.88453159041395,45.311546840958599,50.265795206971674,59.128540305010887
BBC News Sport,45.680687471732249,44.776119402985074,44.776119402985074,45.680687471732249,41.655359565807323,49.886928991406606,52.193577566711888,40.298507462686565
BBC-MV,33.041362530413615,33.041362530413615,33.041362530413615,33.041362530413615,32.992700729927002,34.987834549878343,34.063260340632603,33.041362530413615
BBCSport-MV,48.897058823529413,48.897058823529413,48.897058823529413,48.897058823529413,35.477941176470587,34.375,52.083333333333336,48.897058823529413
COIL100,52.328703703703702,51.916666666666664,51.916666666666664,52.328703703703702,49.643518518518512,56.19444444444445,57.43055555555555,52.412037037037038
COIL20,70.023148148148152,70,69.976851851851848,70.347222222222214,69.421296296296305,70.092592592592595,72.337962962962962,70.046296296296291
Caltech101-20,26.683431126012852,26.082704666107848,26.082704666107848,26.683431126012852,26.571668063704941,26.669460743224359,26.697401508801338,26.082704666107848
Caltech101-20-MV,48.016205644034642,48.016205644034642,48.016205644034642,48.016205644034642,39.773679798826493,35.484772282760538,36.001676445934613,48.002235261246163
Cardiotocography,40.84352461586704,41.172781436186895,40.84352461586704,40.84352461586704,35.810598933835053,38.115396676074006,38.664158043273751,40.84352461586704
Chameleon,32.279314888010539,32.367149758454097,32.279314888010539,32.279314888010539,33.055189576928704,32.030449421753765,32.6306543697848,32.279314888010539
CiteSeer,37.882447665056354,37.882447665056354,37.882447665056354,37.882447665056354,36.815619967793879,42.663043478260867,39.432367149758456,37.882447665056354
Coauthor CS,61.26293205331006,61.26293205331006,61.26293205331006,61.26293205331006,41.729849633629698,56.788305241913491,58.181057837415217,61.266568483063331
Coauthor Physics,77.858309415436949,77.830284405531557,77.867006832304142,77.752974033378749,82.057229002986119,56.8608123387354,72.780950724301562,77.871838730563695
Cora,48.375184638109303,48.510585918266862,48.375184638109303,48.375184638109303,42.466765140324966,53.803545051698663,54.92368291482029,48.375184638109303
CoraFull,33.183448693982719,33.343437915761456,33.343437915761463,33.183448693982719,33.405749507401609,31.484194748985324,29.857356978056217,33.390592633759411
DBLP,88.489031303919148,88.497247555665098,88.497247555665098,88.497247555665098,29.504560019719001,49.272861720483114,82.318626242708064,88.612275080108432
Extended Yale-B,9.6244131455399042,9.8453465893399592,9.6520298260149122,9.6520298260149122,9.3758630212648413,10.01104667219,9.2377796188898031,9.6244131455399042
Handwritten,94.849999999999994,94.849999999999994,94.849999999999994,94.849999999999994,94.966666666666683,91.38333333333334,91.450000000000003,94.849999999999994
Human Kidney,35.222222222222221,34.952380952380949,34.952380952380949,35.222222222222221,35.571428571428569,37.714285714285715,38.952380952380956,34.984126984126988
IMDB,35.483870967741929,35.483870967741929,35.483870967741929,35.483870967741929,37.026647966339411,36.060464391460179,35.476079164718719,35.483870967741929
Isolet,60.72649572649572,60.897435897435891,60.897435897435891,60.897435897435891,60,57.051282051282058,53.183760683760681,60.897435897435891
LandUse-21,21.571428571428566,21.87301587301587,21.571428571428566,21.571428571428566,6.3174603174603146,28.349206349206348,30.079365079365079,21.555555555555554
Letter,27.18,27.43333333333333,27.43333333333333,27.18,26.681666666666665,25.566666666666666,26.669999999999998,27.175000000000001
Leukemia,70.833333333333343,70.833333333333343,70.833333333333343,70.833333333333343,70.833333333333343,59.259259259259252,67.129629629629633,70.833333333333343
Leukemia2,60.185185185185198,58.333333333333336,59.722222222222221,60.185185185185198,55.092592592592595,62.962962962962962,65.740740740740733,60.185185185185198
MFeat-pix,78.88333333333334,84.066666666666663,84.066666666666663,78.88333333333334,78.866666666666674,71.316666666666663,82.566666666666663,84.033333333333331
MSRC-v1,73.650793650793659,73.650793650793659,74.126984126984127,73.650793650793659,40.634920634920633,71.111111111111114,70.476190476190482,73.80952380952381
Movies617,12.155591572123175,12.155591572123175,12.155591572123175,12.155591572123175,7.45542949756888,21.447866018368448,20.907617504051863,12.209616423554833
NGs,20.800000000000001,20.800000000000001,20.800000000000001,20.800000000000001,20.000000000000004,36.600000000000001,38.466666666666669,20.800000000000001
NUSWIDE-Object-2000,16.866666666666667,16.866666666666667,16.866666666666667,16.866666666666667,11.75,13.550000000000001,14.283333333333333,16.883333333333329
ORL,65.583333333333343,65.166666666666671,65.166666666666671,65.583333333333343,65.583333333333343,72.916666666666657,75.416666666666671,65.916666666666671
PubMed,51.596760832445774,59.91783739919866,51.596760832445774,51.596760832445774,58.609321904955117,61.993880069652242,58.824026643674664,51.598451420939625
Reuters,47.266666666666666,47.266666666666666,47.266666666666666,47.266666666666666,27.800000000000004,36.977777777777774,41.600000000000001,47.244444444444447
Scene15,40.572277963582309,40.572277963582309,40.572277963582309,41.181716833890739,9.1415830546265298,36.729840208101066,41.813452248234853,40.527684875510957
Squirrel,23.431391399089915,23.431391399089915,23.431391399089915,23.431391399089915,20.03460872909055,24.610651797731201,25.027238351599053,23.437800422995572
UMIST,42.144927536231883,40.811594202898547,41.275362318840578,41.79710144927536,41.275362318840578,39.768115942028984,39.130434782608688,41.565217391304344
USPS3568,67.445381786718585,67.402119835604594,67.402119835604594,67.412935323383081,66.991131300021635,67.953709712308026,73.491239454899429,67.423750811161582
WebKB,78.0209324452902,78.0209324452902,78.0209324452902,78.0209324452902,78.116079923882026,69.743101807802091,68.823342848081197,78.0209324452902
