dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
100Leaves,66.258684116607725,64.574165240288465,66.258684116607725,73.467250458326731,68.387202726471685,77.291683005423167,77.250402943126204,65.795652074546538
10X PBMC,63.794950799529424,50.170633708132343,50.170633708132343,63.794950799529424,29.983898369125249,65.25854565321437,77.732054000536891,63.795515954426484
11_Tumors,38.997171304172333,37.851872971434908,39.390444526411798,38.850698254074338,34.858873042610774,41.208751661660067,50.255909661155052,40.260653046224995
3Sources,0.44611366678416325,0.44611366678416325,0.44611366678416325,0.44611366678416325,0,10.249763504516867,8.7069170432615977,0.3638742377112566
ACM,41.467571377468651,41.566393901025101,41.554105071899201,41.611700300963278,41.456353472088949,41.643987014889042,50.908516256580874,41.586718508959919
ALOI,27.953437703446898,25.26263062873657,27.953437703446898,27.953437703446898,0.32850140044203668,59.513622580911893,63.107348300364322,22.735758717553896
Actor,0.10630493214675667,0.10630493214675667,0.10630493214675667,0.10630493214675667,0.020891815135059999,1.0285302047868432,0.52400506248428336,0.10630493214675667
Amazon Computers,30.006197591004401,29.696563573994776,29.696563573994776,30.513782253137961,0,16.262664100182981,28.660661397106519,29.849820019645222
Amazon Photo,36.969440304049179,36.52854368033627,36.52854368033627,36.96840665796941,35.768915525259274,26.398387052777927,29.597674165215683,36.963554052199441
BBC News Sport,14.119166610786305,10.620436659109249,10.620436659109249,14.119166610786305,3.3894413689792966,21.369610948505361,24.058520649207349,6.2491966148296862
BBC-MV,0.18393328630827666,0.18393328630827666,0.18393328630827666,0.18393328630827666,0.0055417121519399995,5.6713570226298273,7.7321855963586206,0.18393328630827666
BBCSport-MV,8.7730884218155794,8.7730884218155794,8.7730884218155794,8.7730884218155794,0,6.0778939275446398,23.372341785422325,8.7730884218155794
COIL100,42.479724860026408,40.151776015209592,40.151776015209592,42.479724860026408,38.14662324513786,50.584781523042054,52.222825564053984,42.756667958109865
COIL20,65.084810952747617,65.714136539299886,65.359737498170759,65.70261538181758,61.969862961995545,64.157601469867899,66.418389363282827,64.673652920473074
Caltech101-20,15.607651675736669,15.067187765569049,15.067187765569049,15.607651675736669,15.111945475694203,17.278130828673945,16.618345694000102,15.165213289448451
Caltech101-20-MV,36.316343625664516,36.316343625664516,36.316343625664516,36.316343625664516,7.815834853672154,25.569847895150289,27.205661155625599,36.203361743055567
Cardiotocography,18.003024238158282,18.27036305649213,18.003024238158282,18.003024238158282,11.470343227850648,16.697892143360381,17.08573880578944,18.005573080551308
Chameleon,4.7319287825863299,4.8061125388580104,4.7319287825863299,4.7319287825863299,4.9293369480914038,5.0465814185546236,4.3799950479380128,4.7319287825863299
CiteSeer,15.655169477170706,15.655169477170706,15.655169477170706,15.655169477170706,14.653620462010435,17.712913255624205,16.121613534842027,15.655169477170706
Coauthor CS,49.653526896616818,49.653526896616818,49.653526896616818,49.653526896616818,16.260721568159209,43.763971288349495,46.117866189596235,49.516227297740365
Coauthor Physics,69.132577014304758,69.164398704737224,69.179069791471875,69.095170362391315,70.082591307962602,41.445533439687019,60.26519963486178,69.349283431197549
Cora,25.799856448573294,25.898897063299188,25.799856448573294,25.799856448573294,16.610321239749439,30.39318859229439,32.27860717031367,25.826201920009801
CoraFull,22.747164378357478,22.776626943159915,22.791696619161939,22.747164378357478,21.624117134068541,20.247159314924911,19.110840745593833,22.884475613315878
DBLP,72.949359861779953,73.013267009885695,73.013267009885695,73.013267009885695,0,20.62784850547931,60.926420641921951,73.221396247543041
Extended Yale-B,1.4424417239980101,1.4553975207994099,1.4840928388308301,1.4840928388308301,1.3293295984859435,1.5222123622924366,1.4283487085346969,1.4309642251677233
Handwritten,89.055291771352955,89.00620800975112,89.013576364524567,89.013576364524567,89.252306298325109,84.195167486008089,84.551858959474259,89.020104917694994
Human Kidney,10.674971442236798,10.63152999860424,10.63152999860424,10.674971442236798,9.0826468822894171,15.227327769162857,15.204101538260295,10.567871299436552
IMDB,-0.10326457085545915,-0.10326457085545915,-0.10326457085545915,-0.10326457085545915,0,0.17961713314033334,0.14563290351197666,-0.10244027338201916
Isolet,6.0169491229847205,6.2935995000379776,6.2935995000379776,6.2935995000379776,5.0064812856402501,2.4891415771002099,0.66805243826770666,6.2935995000379776
LandUse-21,9.8348353692790162,9.8230868814625065,9.8348353692790162,9.8348353692790162,0.12420334086372334,14.637455405290398,15.803491615330541,9.9705209626709195
Letter,13.050072566722672,12.976177954050419,12.976177954050419,13.050072566722672,11.506265590381307,14.256947101411422,15.224188404164209,12.75770340212334
Leukemia,16.2077515013866,16.2077515013866,16.2077515013866,16.2077515013866,16.2077515013866,4.5706097399845236,10.84506024863024,16.2077515013866
Leukemia2,34.445302044529186,28.090406995229237,32.593200111922989,34.445302044529186,21.816022421655113,26.705608386521217,30.810671737666372,34.445302044529186
MFeat-pix,71.72204097790096,75.054121844538685,75.054121844538685,71.72204097790096,70.163755845054396,59.162210895913546,69.495026885734873,74.996275512129699
MSRC-v1,59.20441346490172,60.339897337547299,60.039365243518816,59.318960570274882,22.734551488392217,53.816692829972226,53.167701998283469,59.510394490604583
Movies617,0.68232518239418993,0.68232518239418993,0.68232518239418993,0.68232518239418993,0,5.8409796220608632,5.769454949985561,0.6841197943334566
NGs,0.0047871236158019796,0.0047871236158019796,0.0047871236158019796,0.0047871236158019796,0,9.6486650127685945,12.668381243657359,0.0047871236158019796
NUSWIDE-Object-2000,4.4836476062084438,4.4836476062084438,4.4836476062084438,4.4836476062084438,0,3.3441723781554402,3.9026298229544336,4.4000793752689171
ORL,46.763928944506532,44.743449469866583,44.743449469866583,46.763928944506532,42.52161827651706,62.197684064189055,66.037192534918162,46.548510155805708
PubMed,11.19346082478836,18.075057583678092,11.19346082478836,11.19346082478836,12.575468813492691,20.292371690395086,16.28578392208405,11.194003910050309
Reuters,16.861687751195156,16.861687751195156,16.861687751195156,16.861687751195156,0,14.643608587261816,20.185188302072699,16.827057033025742
Scene15,22.869642011480355,22.869642011480355,22.869642011480355,24.258927797649836,0,21.606315863703962,24.076879967207319,22.841194566545635
Squirrel,0.43043736768604662,0.43043736768604662,0.43043736768604662,0.43043736768604662,0,0.79047352089506673,1.0451081419572299,0.42471956360628671
UMIST,30.077811852000174,29.065528208948848,29.441847412548917,30.42487989095553,28.732536961018091,29.130879265852471,28.694114677341464,29.689537687563188
USPS3568,53.369351201810289,53.617667390899427,53.617667390899427,53.318271733747792,48.614360372646701,41.753946534412641,51.186742829992447,53.668324317325101
WebKB,-0.13674461502060001,-0.13674461502060001,-0.13674461502060001,-0.13674461502060001,0,17.551880543986563,15.283068232632461,-0.13674461502060001
WebKB-Cornell,2.2960730542831032,2.1985630237750202,2.1985630237750202,2.3641611938271168,0.68206984235637358,3.6638940738228265,5.9976842051328809,2.3641611938271168
WebKB-Texas,3.462747389785243,3.158731406382103,3.158731406382103,3.462747389785243,-0.24367058131160002,3.6973749838921566,9.2639449173853894,3.5762309383478366
WebKB-Washington,5.4794673650531607,5.7567609442245669,5.7567609442245669,5.4794673650531607,3.1582160194714963,6.7825088625513636,9.7782684223098322,5.4794673650531607
WebKB-Wisconsin,1.5176993102498699,1.5176993102498699,1.5176993102498699,1.5176993102498699,0.44627038767576327,3.2162023076857662,6.0273965528167999,1.5176993102498699
Wiki,32.32599127810056,31.547736270331345,31.547736270331345,33.068064381823348,0,13.047219160340914,32.976680108646768,32.353957087392523
WikiCS,24.788246267169232,26.220141745741344,24.788246267169232,24.788246267169232,7.392851668267177,26.845910875721106,30.572064148704108,24.800146279496307
Worm Neuron,5.0554166355003503,4.875918144873129,4.875918144873129,5.0554166355003503,3.4079618864808601,15.090420492676824,14.171915443103803,4.5257105834262434
