dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
100Leaves,80.963968744403971,81.278929591044559,80.963968744403971,84.332640270911043,69.8970360171582,81.566421393254657,81.452829144712084,81.314200350556916
10X PBMC,49.836180950624673,41.510623888576603,41.510623888576603,49.836180950624673,25.833731400917763,60.658618574969438,68.0430578045152,49.834371850001354
11_Tumors,44.872164392478673,43.468602884940836,44.981678833473566,44.659349625893839,41.363978457569075,50.526460680192699,57.970648507365794,46.487672576987379
3Sources,20.562668185075886,20.562668185075886,20.562668185075886,20.562668185075886,8.2962962962962905,31.378975856025921,31.339847540627268,20.411979217861344
ACM,69.028331627972477,69.10517324383413,69.089323677315434,69.078358509667936,68.712255058267687,69.410807180937979,79.216585407776876,69.123232832441559
ALOI,71.737768798580831,71.702921588093631,71.737768798580831,71.737768798580831,11.403280465025883,71.806159786560968,75.886879255256815,71.313168310429234
Actor,11.655080878566894,11.655080878566894,11.655080878566894,11.655080878566894,8.7029317136241993,23.09963119560922,22.186106419027183,11.655080878566894
Amazon Computers,52.767307546782661,52.149138072277346,52.149138072277346,49.692716845940325,5.4553146483342108,25.271370705227465,37.320126681536102,52.635184731433881
Amazon Photo,52.10709522468585,52.152249273152997,52.152249273152997,52.131334483483251,52.303901330383241,41.874649964854676,49.931297755780918,52.09606887761241
BBC News Sport,42.328447897134232,40.743922069074841,40.743922069074841,42.328447897134232,25.857578432659462,53.284949970458037,56.207543080759336,34.476133245059494
BBC-MV,11.472689999932294,11.472689999932294,11.472689999932294,11.472689999932294,10.076421632053597,31.15787521771356,31.863443156054355,11.472689999932294
BBCSport-MV,34.56523235833356,34.56523235833356,34.56523235833356,34.56523235833356,10.47489823609226,32.744351745566853,50.38641134079721,34.56523235833356
COIL100,50.010123516692218,49.685638862275091,49.685638862275091,50.010123516692218,45.663916854804839,54.677237554084513,56.548956422094996,50.143262215659298
COIL20,68.541037402509048,68.685608385961601,68.494717540456307,68.901853767106431,66.738128430308137,69.239755311870042,71.437906208284971,68.46745925113234
Caltech101-20,20.995075423707362,20.299659814790779,20.299659814790779,20.995075423707362,20.52986515557517,19.88892534725364,22.006646428282551,20.425389338094892
Caltech101-20-MV,44.843017915141907,44.843017915141907,44.843017915141907,44.843017915141907,12.292727610909047,31.70908817422,32.572280289707685,44.836612880727685
Cardiotocography,35.901347428845867,36.134196297697748,35.901347428845867,35.901347428845867,19.211807438271791,37.187198123391227,37.310790816479297,35.895010987138761
Chameleon,27.134304249156788,27.295665573679262,27.134304249156788,27.134304249156788,27.735959912479956,31.773404171267732,32.283194951197736,27.134304249156788
CiteSeer,30.930122918660448,30.930122918660448,30.930122918660448,30.930122918660448,29.718122012839121,38.182728652921668,34.628152026043686,31.027547640510832
Coauthor CS,56.784990494030431,56.784990494030431,56.784990494030431,56.784990494030431,19.38507849901908,49.5535895356062,51.014606116766416,56.745095404884758
Coauthor Physics,68.15813045763997,69.109267603147288,69.143907522042099,68.959902681840731,67.000854042777945,55.465512950046502,63.842502460457339,69.068397510239294
Cora,35.607788673713038,35.698907953192133,35.607788673713038,35.607788673713038,26.046577589093513,49.348893085148894,51.462753702979512,35.604162426626964
CoraFull,24.06689955923537,24.245667764851778,24.205656881040419,24.06689955923537,21.225932524108956,26.314623602068139,24.378309879879577,24.401098312613854
DBLP,87.921121937631213,87.888872023376223,87.888872023376223,87.888872023376223,11.39132089836315,48.248167284610652,81.619215161368388,88.032104434026394
Extended Yale-B,10.189390011277533,10.504984563732901,10.19064847253809,10.19064847253809,9.487967600008524,10.287176124443006,9.5291805349077041,10.20029019619097
Handwritten,94.889263884118265,94.899422254136795,94.898404851184281,94.898404851184281,94.991603393723878,91.638934945702161,91.597044532834445,94.897461936553057
Human Kidney,24.161062038089057,23.824057306125365,23.824057306125365,24.161062038089057,24.392854175123638,31.996769989474188,32.395223175156467,24.024739918231351
IMDB,30.766155670498481,30.766155670498481,30.766155670498481,30.766155670498481,18.014329580348001,34.423475346864599,34.403471394247561,30.762915340148766
Isolet,57.916081551471841,58.085170733048116,58.085170733048116,58.085170733048116,59.425188903306712,55.649267426612639,52.424339960918729,58.085170733048116
LandUse-21,17.174144407426407,17.209138247562127,17.174144407426407,17.174144407426407,2.5562866295167699,28.944171502108638,30.490943354596929,17.021966204005171
Letter,28.455486926926909,28.513237964970433,28.513237964970433,28.455486926926909,27.960764992783275,26.224072488999706,27.094729897604132,28.309862949291659
Leukemia,69.50998185117966,69.50998185117966,69.50998185117966,69.50998185117966,69.50998185117966,58.779417038077185,66.135297788697258,69.50998185117966
Leukemia2,49.296730512535987,47.408296651994128,48.738161931439244,49.296730512535987,44.813405342522508,62.57403023518129,65.047208130021289,49.296730512535987
MFeat-pix,78.433996595261206,83.803787981127826,83.803787981127826,78.433996595261206,76.37769264446716,70.472251428496051,82.724441936126041,83.764290025894525
MSRC-v1,70.355118482848951,69.321708822733541,70.817485909749493,70.528497971706628,32.71802837750613,70.097826772070448,69.61620321161233,70.49552207331034
Movies617,6.0020692780420406,6.0020692780420406,6.0048584449178932,6.0020692780420406,0.81625410345133009,20.471008757743018,20.093861195929161,6.1073110498679029
NGs,8.2965815675041394,8.2965815675041394,8.2965815675041394,8.2965815675041394,6.6666666666666599,33.949379154939784,37.364133706504482,8.2965815675041394
NUSWIDE-Object-2000,11.114135998446843,11.114135998446843,11.114135998446843,11.114135998446843,0.67835750884029,11.597144329385427,11.68980071535985,11.116621985956137
ORL,65.07845967461256,65.093076227753343,65.093076227753343,65.07845967461256,65.96636580069314,72.190557350434659,75.13086273021085,65.55866589798876
PubMed,43.647095264639255,58.802762526308108,43.647095264639255,43.647095264639255,43.169838416320196,60.526318616353393,55.922999312830122,43.648021964514768
Reuters,21.092867638921074,21.092867638921074,21.092867638921074,21.092867638921074,7.2509128847157003,31.563329307484839,35.186643339329976,21.095083102887415
Scene15,39.50507783691998,39.50507783691998,39.50507783691998,39.744605312057395,1.11678583588695,35.565841805809789,41.131106191817942,39.461319478628013
Squirrel,19.075107632133648,19.075107632133648,19.075107632133648,19.075107632133648,6.6762774307223989,24.447171900385914,23.520735788043101,19.053023526965649
UMIST,41.813229317830398,40.326522200557591,40.781862863463523,41.451141487019591,40.051250166486987,38.467139281381286,37.963812441755529,41.097114870715885
