dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
100Leaves,92.392398316821328,92.582136177037427,92.392398316821328,93.345994380263079,91.662284693096197,92.382042538962352,92.393402850834548,92.499271462549231
10X PBMC,74.853722015778999,67.827671984164169,67.827671984164169,74.853722015778999,50.977917304026462,66.062093208962352,77.262122746388471,74.843261946924088
11_Tumors,60.160681372167311,59.686351050704076,60.500357505061729,59.803054460472183,56.711193230828641,59.48697730835795,64.414929313499044,60.086209145423098
3Sources,16.881185172457318,16.881185172457318,16.881185172457318,16.881185172457318,0,19.705594254121973,17.02516803001765,16.63011777797464
ACM,45.714773199765048,45.839905111614868,45.784014873149921,45.897698364161975,45.181899176366592,45.37944330707365,49.90678880431129,45.841566997142081
ALOI,80.645501038688437,80.550143646718055,80.645501038688437,80.645501038688437,19.331083183345822,81.389078555103694,82.827858736696328,80.260147743164495
Actor,0.087756988511719994,0.087756988511719994,0.087756988511719994,0.087756988511719994,0.03198772553873,1.3893365526615598,0.62088287564827993,0.087756988511719994
Amazon Computers,45.220822746551534,45.267836531682086,45.267836531682086,45.39087380520381,0,25.401512801832904,37.888455281958741,45.138848288950498
Amazon Photo,54.003045914808702,54.445623496460669,54.445623496460669,54.000645603553785,55.435279422724193,38.973277730458726,40.931754604366624,53.997514128001299
BBC News Sport,29.907391974641762,26.123634594705919,26.123634594705919,29.907391974641762,17.277955181392159,34.112843440705547,37.818944575156621,20.849180207468361
BBC-MV,1.4164283817654799,1.4164283817654799,1.4164283817654799,1.4164283817654799,0.20589815173635001,9.3675555575852769,8.7124951871655156,1.4164283817654799
BBCSport-MV,25.478614206899096,25.478614206899096,25.478614206899096,25.478614206899096,0,8.7767988582065595,31.083803509517736,25.478614206899096
COIL100,78.526863670600591,78.189411003236714,78.189411003236714,78.526863670600591,78.14387679053813,78.028763345309386,78.790508775539791,78.531289978920711
COIL20,81.396320387671011,81.729081178236356,81.592012026689574,81.639038784901246,79.99312012371972,80.592290003572984,80.807392037795282,81.129648806922447
Caltech101-20,40.155654195952678,39.966633822691719,39.966633822691719,40.155654195952678,39.522761543634275,40.30912287892626,38.862898852972961,39.952153158308931
Caltech101-20-MV,62.437099956498855,62.437099956498855,62.437099956498855,62.437099956498855,41.445571930343291,54.247647226043327,56.346883778045409,62.371686887278145
