dataset,method,ACC,NMI,ARI,F1
100Leaves,AggregatePower,0.85062499999999996,0.93345994380263075,0.73467250458326727,0.84332640270911041
100Leaves,CA,0.81833333333333336,0.92392398316821323,0.66258684116607725,0.80963968744403969
100Leaves,CEHM,0.75041666666666662,0.91662284693096197,0.68387202726471685,0.69897036017158198
100Leaves,LinearPair,0.81833333333333336,0.92392398316821323,0.66258684116607725,0.80963968744403969
100Leaves,PSF-CE,0.81854166666666661,0.92499271462549226,0.6579565207454654,0.8131420035055692
100Leaves,Poly2,0.81833333333333336,0.92582136177037422,0.64574165240288472,0.81278929591044558
100Leaves,RANGE,0.828125,0.9239340285083455,0.77250402943126206,0.8145282914471208
100Leaves,YACHT,0.83020833333333333,0.9238204253896235,0.77291683005423162,0.81566421393254662
10X PBMC,AggregatePower,0.72395223601030201,0.74853722015779001,0.63794950799529426,0.4983618095062467
10X PBMC,CA,0.72395223601030201,0.74853722015779001,0.63794950799529426,0.4983618095062467
10X PBMC,CEHM,0.51338484351830171,0.50977917304026465,0.2998389836912525,0.25833731400917764
10X PBMC,LinearPair,0.67314446265511585,0.67827671984164173,0.50170633708132339,0.41510623888576603
10X PBMC,PSF-CE,0.72395223601030201,0.74843261946924089,0.63795515954426485,0.49834371850001352
10X PBMC,Poly2,0.67314446265511585,0.67827671984164173,0.50170633708132339,0.41510623888576603
10X PBMC,RANGE,0.78217435417154457,0.77262122746388473,0.77732054000536888,0.68043057804515206
10X PBMC,YACHT,0.70295793334894252,0.66062093208962358,0.65258545653214373,0.60658618574969436
11_Tumors,AggregatePower,0.55938697318007657,0.59803054460472183,0.3885069825407434,0.4465934962589384
11_Tumors,CA,0.56321839080459768,0.60160681372167313,0.38997171304172334,0.44872164392478675
11_Tumors,CEHM,0.51340996168582376,0.56711193230828638,0.34858873042610772,0.41363978457569078
11_Tumors,LinearPair,0.56513409961685823,0.6050035750506173,0.393904445264118,0.44981678833473565
11_Tumors,PSF-CE,0.56896551724137934,0.60086209145423097,0.40260653046224998,0.46487672576987382
11_Tumors,Poly2,0.54406130268199238,0.59686351050704078,0.37851872971434908,0.43468602884940832
11_Tumors,RANGE,0.63026819923371658,0.64414929313499047,0.50255909661155052,0.57970648507365796
11_Tumors,YACHT,0.54789272030651348,0.59486977308357947,0.41208751661660065,0.50526460680192697
3Sources,AggregatePower,0.41814595660749498,0.16881185172457316,0.0044611366678416328,0.20562668185075886
3Sources,CA,0.41814595660749498,0.16881185172457316,0.0044611366678416328,0.20562668185075886
3Sources,CEHM,0.3313609467455621,0,0,0.082962962962962905
3Sources,LinearPair,0.41814595660749498,0.16881185172457316,0.0044611366678416328,0.20562668185075886
3Sources,PSF-CE,0.41617357001972383,0.1663011777797464,0.0036387423771125659,0.20411979217861345
3Sources,Poly2,0.41814595660749498,0.16881185172457316,0.0044611366678416328,0.20562668185075886
3Sources,RANGE,0.34911242603550291,0.17025168030017648,0.087069170432615972,0.31339847540627269
3Sources,YACHT,0.35108481262327412,0.19705594254121972,0.10249763504516868,0.3137897585602592
ACM,AggregatePower,0.6841873278236914,0.45897698364161976,0.41611700300963278,0.69078358509667936
ACM,CA,0.6836363636363636,0.45714773199765046,0.41467571377468654,0.69028331627972472
ACM,CEHM,0.68154269972451786,0.45181899176366591,0.41456353472088953,0.68712255058267679
ACM,LinearPair,0.68429752066115712,0.4578401487314992,0.415541050718992,0.69089323677315428
ACM,PSF-CE,0.68462809917355372,0.4584156699714208,0.41586718508959919,0.69123232832441561
ACM,Poly2,0.68440771349862262,0.4583990511161487,0.415663939010251,0.69105173243834128
ACM,RANGE,0.79217630853994481,0.49906788804311292,0.50908516256580871,0.79216585407776874
ACM,YACHT,0.68793388429752067,0.45379443307073647,0.41643987014889045,0.69410807180937972
ALOI,AggregatePower,0.6929012345679012,0.80645501038688439,0.27953437703446898,0.71737768798580837
ALOI,CA,0.6929012345679012,0.80645501038688439,0.27953437703446898,0.71737768798580837
ALOI,CEHM,0.1085802469135802,0.19331083183345821,0.0032850140044203666,0.11403280465025883
ALOI,LinearPair,0.6929012345679012,0.80645501038688439,0.27953437703446898,0.71737768798580837
ALOI,PSF-CE,0.68336419753086419,0.80260147743164489,0.22735758717553897,0.71313168310429231
ALOI,Poly2,0.68993827160493826,0.80550143646718053,0.25262630628736571,0.71702921588093627
ALOI,RANGE,0.74743827160493825,0.82827858736696325,0.63107348300364319,0.75886879255256812
ALOI,YACHT,0.70688271604938269,0.813890785551037,0.59513622580911896,0.71806159786560964
Actor,AggregatePower,0.26092105263157889,0.00087756988511719994,0.0010630493214675667,0.11655080878566894
Actor,CA,0.26092105263157889,0.00087756988511719994,0.0010630493214675667,0.11655080878566894
Actor,CEHM,0.25907894736842108,0.0003198772553873,0.00020891815135059999,0.087029317136241999
Actor,LinearPair,0.26092105263157889,0.00087756988511719994,0.0010630493214675667,0.11655080878566894
Actor,PSF-CE,0.26092105263157889,0.00087756988511719994,0.0010630493214675667,0.11655080878566894
Actor,Poly2,0.26092105263157889,0.00087756988511719994,0.0010630493214675667,0.11655080878566894
Actor,RANGE,0.23346491228070168,0.0062088287564827996,0.0052400506248428333,0.22186106419027185
Actor,YACHT,0.24008771929824557,0.013893365526615598,0.010285302047868433,0.23099631195609219
Amazon Computers,AggregatePower,0.51410703897614896,0.45390873805203807,0.30513782253137961,0.49692716845940321
Amazon Computers,CA,0.5246509598603839,0.45220822746551531,0.30006197591004402,0.5276730754678266
Amazon Computers,CEHM,0.37507271669575332,0,0,0.054553146483342106
Amazon Computers,LinearPair,0.50419332945510953,0.45267836531682087,0.29696563573994778,0.52149138072277346
Amazon Computers,PSF-CE,0.52399650959860378,0.45138848288950495,0.29849820019645223,0.52635184731433882
Amazon Computers,Poly2,0.50419332945510953,0.45267836531682087,0.29696563573994778,0.52149138072277346
Amazon Computers,RANGE,0.45588520457630405,0.37888455281958744,0.28660661397106518,0.37320126681536103
