name,pool,path,group,split
Wine,0,../../data/frozen_bp/dev/wine__pool0.npz,phaseA15_nonoverlap,dev
Seeds,0,../../data/frozen_bp/dev/seeds__pool0.npz,phaseA15_nonoverlap,dev
Glass,0,../../data/frozen_bp/dev/glass__pool0.npz,phaseA15_nonoverlap,dev
Breast Cancer,0,../../data/frozen_bp/dev/breastcancer__pool0.npz,phaseA15_nonoverlap,dev
Segment,0,../../data/frozen_bp/dev/segment__pool0.npz,phaseA15_nonoverlap,dev
Semeion,0,../../data/frozen_bp/dev/semeion__pool0.npz,phaseA15_nonoverlap,dev
Optdigits,0,../../data/frozen_bp/dev/optdigits__pool0.npz,phaseA15_nonoverlap,dev
Sat,0,../../data/frozen_bp/dev/sat__pool0.npz,phaseA15_nonoverlap,dev
Multiple Features,0,../../data/frozen_bp/dev/multiplefeatures__pool0.npz,phaseA15_nonoverlap,dev
Yale,0,../../data/frozen_bp/dev/yale__pool0.npz,phaseA15_nonoverlap,dev
MNIST4000,0,../../data/frozen_bp/dev/mnist4000__pool0.npz,phaseA15_nonoverlap,dev
USPS,0,../../data/frozen_bp/dev/usps__pool0.npz,phaseA15_nonoverlap,dev
100Leaves,0,../../data/frozen_bp/formal/100leaves__pool0.npz,MULTI_RELATION_7,formal
100Leaves,1,../../data/frozen_bp/formal/100leaves__pool1.npz,MULTI_RELATION_7,formal
100Leaves,2,../../data/frozen_bp/formal/100leaves__pool2.npz,MULTI_RELATION_7,formal
10X PBMC,0,../../data/frozen_bp/formal/10xpbmc__pool0.npz,BKCC_V2,formal
10X PBMC,1,../../data/frozen_bp/formal/10xpbmc__pool1.npz,BKCC_V2,formal
10X PBMC,2,../../data/frozen_bp/formal/10xpbmc__pool2.npz,BKCC_V2,formal
11_Tumors,0,../../data/frozen_bp/formal/11tumors__pool0.npz,NEW10,formal
11_Tumors,1,../../data/frozen_bp/formal/11tumors__pool1.npz,NEW10,formal
11_Tumors,2,../../data/frozen_bp/formal/11tumors__pool2.npz,NEW10,formal
3Sources,0,../../data/frozen_bp/formal/3sources__pool0.npz,TEXT_MV,formal
3Sources,1,../../data/frozen_bp/formal/3sources__pool1.npz,TEXT_MV,formal
3Sources,2,../../data/frozen_bp/formal/3sources__pool2.npz,TEXT_MV,formal
ACM,0,../../data/frozen_bp/formal/acm__pool0.npz,CONTENT_RELATION_8,formal
ACM,1,../../data/frozen_bp/formal/acm__pool1.npz,CONTENT_RELATION_8,formal
ACM,2,../../data/frozen_bp/formal/acm__pool2.npz,CONTENT_RELATION_8,formal
ALOI,0,../../data/frozen_bp/formal/aloi__pool0.npz,MULTI_RELATION_7,formal
ALOI,1,../../data/frozen_bp/formal/aloi__pool1.npz,MULTI_RELATION_7,formal
ALOI,2,../../data/frozen_bp/formal/aloi__pool2.npz,MULTI_RELATION_7,formal
Actor,0,../../data/frozen_bp/formal/actor__pool0.npz,GRAPH_GEOMETRY_8,formal
Actor,1,../../data/frozen_bp/formal/actor__pool1.npz,GRAPH_GEOMETRY_8,formal
Actor,2,../../data/frozen_bp/formal/actor__pool2.npz,GRAPH_GEOMETRY_8,formal
Amazon Computers,0,../../data/frozen_bp/formal/amazoncomputers__pool0.npz,MULTI_RELATION_7,formal
Amazon Computers,1,../../data/frozen_bp/formal/amazoncomputers__pool1.npz,MULTI_RELATION_7,formal
Amazon Computers,2,../../data/frozen_bp/formal/amazoncomputers__pool2.npz,MULTI_RELATION_7,formal
Amazon Photo,0,../../data/frozen_bp/formal/amazonphoto__pool0.npz,MULTI_RELATION_7,formal
Amazon Photo,1,../../data/frozen_bp/formal/amazonphoto__pool1.npz,MULTI_RELATION_7,formal
Amazon Photo,2,../../data/frozen_bp/formal/amazonphoto__pool2.npz,MULTI_RELATION_7,formal
BBC News Sport,0,../../data/frozen_bp/formal/bbcnewssport__pool0.npz,BKCC_V2,formal
BBC News Sport,1,../../data/frozen_bp/formal/bbcnewssport__pool1.npz,BKCC_V2,formal
BBC News Sport,2,../../data/frozen_bp/formal/bbcnewssport__pool2.npz,BKCC_V2,formal
BBC-MV,0,../../data/frozen_bp/formal/bbcmv__pool0.npz,TEXT_MV,formal
BBC-MV,1,../../data/frozen_bp/formal/bbcmv__pool1.npz,TEXT_MV,formal
BBC-MV,2,../../data/frozen_bp/formal/bbcmv__pool2.npz,TEXT_MV,formal
BBCSport-MV,0,../../data/frozen_bp/formal/bbcsportmv__pool0.npz,TEXT_MV,formal
BBCSport-MV,1,../../data/frozen_bp/formal/bbcsportmv__pool1.npz,TEXT_MV,formal
