dataset,pool,n,target_c,M,bp_file_sha256,true_labels_sha256_int32_c,expected_relative_path
ACM,0,3025,3,20,c54cddd4650e11280086724e1c6031998a322b15d7fdaf9bcdf9370639eb4b63,6fddfd2a50ae0e6d873640933d4393b1ff642795543e25860fb27d820fd48a76,formal/acm__pool0.npz
ACM,1,3025,3,20,090ab7b1b15c79cb0da59e5a08813c61fd4558d28389f74c22ec210e1db1b7cc,6fddfd2a50ae0e6d873640933d4393b1ff642795543e25860fb27d820fd48a76,formal/acm__pool1.npz
ACM,2,3025,3,20,827cc436b7c06c8368cf83b5bd317193144c6fde0557d00dcee5d486db9379d0,6fddfd2a50ae0e6d873640933d4393b1ff642795543e25860fb27d820fd48a76,formal/acm__pool2.npz
Amazon Photo,0,7650,8,20,935f1c813510e7bc817fed7208829440e4028de7242d76d192eb3fc98b3f0909,2b726fcd298d83e902822c6a11b8f36989d84fd9171c781b499057066ded0564,formal/amazon_photo__pool0.npz
Amazon Photo,1,7650,8,20,2e0c45d3a4571101efe77757a714ab17355890b152aced7cd32636b00e13c2b5,2b726fcd298d83e902822c6a11b8f36989d84fd9171c781b499057066ded0564,formal/amazon_photo__pool1.npz
Amazon Photo,2,7650,8,20,514007bc6d973f37f1cf6b967da0e5c12bf1748e34b54c1c5ec4ffcc8aa09020,2b726fcd298d83e902822c6a11b8f36989d84fd9171c781b499057066ded0564,formal/amazon_photo__pool2.npz
BBC News Sport,0,737,5,20,730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,formal/bbc_news_sport__pool0.npz
BBC News Sport,1,737,5,20,0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,formal/bbc_news_sport__pool1.npz
BBC News Sport,2,737,5,20,1a60783054101d61bd713be9cc2060f8db605d9c18a691230a117f699f1dccb6,cd0404aaa637c415c8083128d6516f5aed21e5bacba39cc32c02fce443448d94,formal/bbc_news_sport__pool2.npz
Caltech101-20,0,2386,20,20,ab104791b10bab62426cb73bf2601e3e8307c78fe26f9a1f3770042940a263d4,b3c88efbded318a5fff3bf19cc3e4500379e577967a51a3b7ea3582bfefe1a97,formal/caltech101_20__pool0.npz
Caltech101-20,1,2386,20,20,0cc7486e182060715505ff9b064eb3841f4c439f4e68fac74f620372b5aa4d81,b3c88efbded318a5fff3bf19cc3e4500379e577967a51a3b7ea3582bfefe1a97,formal/caltech101_20__pool1.npz
Caltech101-20,2,2386,20,20,df314494c4a6d090a22c26050c8df63d3bf50cc1c4ad68b7cabadff29997a96f,b3c88efbded318a5fff3bf19cc3e4500379e577967a51a3b7ea3582bfefe1a97,formal/caltech101_20__pool2.npz
Chameleon,0,2277,5,20,6a549bbbeb4c04a05f6528ad57e91a93742d5f61ca9f0e456b6b3ca8c237b4ab,10e4dd8b6b469adbb623870a2cee06fec939501c5e39744dbe1f1e6d393a4ff4,formal/chameleon__pool0.npz
Chameleon,1,2277,5,20,2bb8825d69ff6f077e51ad669ed7390a3ca08eea68407a84b70a309c03358983,10e4dd8b6b469adbb623870a2cee06fec939501c5e39744dbe1f1e6d393a4ff4,formal/chameleon__pool1.npz
Chameleon,2,2277,5,20,5237b77bef2ba9a5e669e484823cac29d5a8a056d126167981847c6163e9b7fd,10e4dd8b6b469adbb623870a2cee06fec939501c5e39744dbe1f1e6d393a4ff4,formal/chameleon__pool2.npz
Iris,0,150,3,20,5701ed0cd94ed20c161832a23b22205d1dbc42c20a8bc913e54c9184a3cc341d,4a6a37bf170811d96e7a0037885a4e551c8c43ea2e842868ff0c5c18b56dcfbc,formal/iris__pool0.npz
Iris,1,150,3,20,3ed92bb10de2f71084c32c2a9ad9cb84de3df554853516ed6d5df58a52ab6d9f,4a6a37bf170811d96e7a0037885a4e551c8c43ea2e842868ff0c5c18b56dcfbc,formal/iris__pool1.npz
Iris,2,150,3,20,52eee3e7c59ab74164ac773cb692c65b2f199d4b23ad08bdc82675a71337188c,4a6a37bf170811d96e7a0037885a4e551c8c43ea2e842868ff0c5c18b56dcfbc,formal/iris__pool2.npz
Leukemia,0,72,2,20,ddfe734d8536b78098385371894e671a0de4574e6604b73bc80b4f3bac70e687,1fc1adc72726de1f8a507dfb0acc7f6cce24e1f046232148da44b79c65540446,formal/leukemia__pool0.npz
Leukemia,1,72,2,20,3d2168b1cfe953557c64188bf2950f386f4868e047b00d32027d3e8cf4eccd49,1fc1adc72726de1f8a507dfb0acc7f6cce24e1f046232148da44b79c65540446,formal/leukemia__pool1.npz
Leukemia,2,72,2,20,e70f27de72593649913c0537c2e8331807cbbefb1ba92df3992786df11cc6d35,1fc1adc72726de1f8a507dfb0acc7f6cce24e1f046232148da44b79c65540446,formal/leukemia__pool2.npz
