"canonical_name","project_name","benchmark_group","n","c","source","version_subset","preprocessing","local_alias","sha256","candidate52","core10","identity_status","formal_name_status","source_status","processed_artifact_status","license_or_redistribution_status","bp_origin","data_format","provenance_risk","notes"
"100Leaves","100Leaves","MULTI_RELATION_7","1600","100","https://archive.ics.uci.edu/dataset/241/one+hundred+plant+species+leaves+data+set","n=1600; c=100; format=MATLAB v7.3/HDF5","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","100leaves","cd1ac6a36098bffe278a02ab32acb6771c32e2c7a70fb861db31a27eaf4f21b9","true","false","OFFICIAL_UCI_PAGE_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_UCI_PAGE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","CC BY 4.0 (UCI record)","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MATLAB v7.3/HDF5","LOW","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"10X PBMC","10X PBMC","BKCC_V2","4271","8","","n=4271; c=8; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","10x_pbmc","","true","false","LOCAL_CONTRACT_ONLY","PROJECT_NAME_RETAINED","LOCAL_CONTRACT_ONLY","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"11_Tumors","11_Tumors","NEW10","174","11","https://github.com/lyceia/FS-DB/blob/main/11Tumors.arff","n=174; c=11; format=ARFF","per-view invalid median replacement; constant removal; z-score","11_tumors","946ef66b965476a74eedac55ddb3f121aaccc42f33626865e3747b12813fdd42","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","ARFF","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"3Sources","3Sources","TEXT_MV","169","6","http://mlg.ucd.ie/datasets/3sources.html","n=169; c=6; format=classic_mat","per-view invalid median replacement; constant removal; z-score","3sources","da1e815de655ee684d22da7bbae5b008a9ac44c9f1633ff27e832f3e5404ce28","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","classic_mat","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"ACM","ACM","CONTENT_RELATION_8","3025","3","https://github.com/ChuanbinZhang/Multi-view-datasets/blob/master/ACM.mat","n=3025; c=3; format=classic MATLAB","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","acm","026829f1ca80cae76c0298b2cd135dc851b9dfcf927a9550f0db543b9ecfbd89","true","true","PUBLIC_FILE_LOCATION_AND_LOCAL_SHA256_RECORDED_AUTHORITATIVE_ORIGIN_PARTIAL","PROJECT_NAME_RETAINED","PUBLIC_FILE_LOCATION_AND_LOCAL_SHA256_RECORDED_AUTHORITATIVE_ORIGIN_PARTIAL","LOCAL_SOURCE_SHA256_RECORDED_AND_GENERATED_BP_PROTOCOL_FIXED","REPOSITORY/DATA LICENSE NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","classic MATLAB","HIGH","Collection file is accessible, but authoritative upstream construction and redistribution terms are incomplete."
"Actor","Actor","GRAPH_GEOMETRY_8","7600","5","https://github.com/graphdml-uiuc-jlu/geom-gcn/tree/master/new_data/film","n=7600; c=5; format=Geom-GCN indexed text","feature: constant removal,row-L2,TruncatedSVD<=300,z-score; graph: max-symmetrize,remove diagonal,normalized spectral","actor","c253204396e24f4f3a1de528d8b4775bb67df2a4ca9d6c721da1c6a940019361","true","false","PUBLIC_GEOM_GCN_FILES_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_GEOM_GCN_FILES_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","REPOSITORY/DATA LICENSE NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","Geom-GCN indexed text","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"ALOI","ALOI","MULTI_RELATION_7","10800","100","https://aloi.science.uva.nl/","n=10800; c=100; format=MATLAB v7.3/HDF5","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","aloi","08e3d2b243c0ee9c159d7541efd9211bbcb1dd788d4d36ded8ad11849b2f72ee","true","false","OFFICIAL_PROJECT_PAGE_REACHABLE","PROJECT_NAME_RETAINED","OFFICIAL_PROJECT_PAGE_REACHABLE","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","REDISTRIBUTION TERMS NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MATLAB v7.3/HDF5","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Amazon Computers","Amazon Computers","MULTI_RELATION_7","13752","10","https://github.com/shchur/gnn-benchmark/blob/master/data/npz/amazon_electronics_computers.npz","n=13752; c=10; format=GNN benchmark NumPy/SciPy sparse NPZ","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","amazon_computers","736ba1d9fd85eac2da83a5ad25c463f04b0031a6ca01563f90a7099d9e8ffb2c","true","false","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","UNDERLYING DATA REDISTRIBUTION NOT_CLEARED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","GNN benchmark NumPy/SciPy sparse NPZ","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Amazon Photo","Amazon Photo","MULTI_RELATION_7","7650","8","https://github.com/shchur/gnn-benchmark/blob/master/data/npz/amazon_electronics_photo.npz","n=7650; c=8; format=GNN benchmark NumPy/SciPy sparse NPZ","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","amazon_photo","bdb1feb8e6ff42ee44024b04479145029c563fd42fc31bff80af20887ba0439a","true","true","PUBLIC_FILE_AND_LOCAL_SOURCE_SHA256_RECORDED","PROJECT_NAME_RETAINED","PUBLIC_FILE_AND_LOCAL_SOURCE_SHA256_RECORDED","LOCAL_SOURCE_SHA256_RECORDED_AND_GENERATED_BP_PROTOCOL_FIXED","CODE REPOSITORY MIT; UNDERLYING DATA REDISTRIBUTION NOT_AUTOMATICALLY_CLEARED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","GNN benchmark NumPy/SciPy sparse NPZ","MEDIUM","Do not infer data redistribution rights from the code repository license."
"BBC News Sport","BBC News Sport","BKCC_V2","737","5","https://github.com/derekgreene/bbc-datasets/blob/main/README.md","n=737; c=5; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","bbc_news_sport","","true","true","PUBLIC_FAMILY_VERIFIED_EXACT_PROCESSED_BP_NOT_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_FAMILY_VERIFIED_EXACT_PROCESSED_BP_NOT_VERIFIED","LOCAL_BP_ARCHIVE_ENTRY_VALIDATED_BY_SIZE_AND_CRC_ONLY","RESEARCH/NON-COMMERCIAL NOTICE; BBC COPYRIGHT; REDISTRIBUTION NOT_CLEARED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","Local BKCC file is a 1000-dimensional processed representation with supplied LKM/CDKM BPs; the transformation lineage from public BBCSport text is not independently closed."
