"dataset","pool","n","target_c","M","formal_bp_sha256","redistribution_status","public_relative_path","reason"
"ACM","0","3025","3","20","c54cddd4650e11280086724e1c6031998a322b15d7fdaf9bcdf9370639eb4b63","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"ACM","1","3025","3","20","090ab7b1b15c79cb0da59e5a08813c61fd4558d28389f74c22ec210e1db1b7cc","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"ACM","2","3025","3","20","827cc436b7c06c8368cf83b5bd317193144c6fde0557d00dcee5d486db9379d0","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Amazon Photo","0","7650","8","20","935f1c813510e7bc817fed7208829440e4028de7242d76d192eb3fc98b3f0909","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Amazon Photo","1","7650","8","20","2e0c45d3a4571101efe77757a714ab17355890b152aced7cd32636b00e13c2b5","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Amazon Photo","2","7650","8","20","514007bc6d973f37f1cf6b967da0e5c12bf1748e34b54c1c5ec4ffcc8aa09020","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"BBC News Sport","0","737","5","20","730b6843fb81cafa554c498f1ed602dce46cf2753b7c01f76201c1ed3f8f2be4","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"BBC News Sport","1","737","5","20","0d8f31aad19a96dbc4b5cd0c884fb0f3679215daeb74c0b0b46dd273e7b23ea8","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"BBC News Sport","2","737","5","20","1a60783054101d61bd713be9cc2060f8db605d9c18a691230a117f699f1dccb6","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Caltech101-20","0","2386","20","20","ab104791b10bab62426cb73bf2601e3e8307c78fe26f9a1f3770042940a263d4","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Caltech101-20","1","2386","20","20","0cc7486e182060715505ff9b064eb3841f4c439f4e68fac74f620372b5aa4d81","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Caltech101-20","2","2386","20","20","df314494c4a6d090a22c26050c8df63d3bf50cc1c4ad68b7cabadff29997a96f","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Chameleon","0","2277","5","20","6a549bbbeb4c04a05f6528ad57e91a93742d5f61ca9f0e456b6b3ca8c237b4ab","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Chameleon","1","2277","5","20","2bb8825d69ff6f077e51ad669ed7390a3ca08eea68407a84b70a309c03358983","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Chameleon","2","2277","5","20","5237b77bef2ba9a5e669e484823cac29d5a8a056d126167981847c6163e9b7fd","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Iris","0","150","3","20","5701ed0cd94ed20c161832a23b22205d1dbc42c20a8bc913e54c9184a3cc341d","PUBLIC_CC_BY_4_0","frozen_bp/iris/pool0.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
"Iris","1","150","3","20","3ed92bb10de2f71084c32c2a9ad9cb84de3df554853516ed6d5df58a52ab6d9f","PUBLIC_CC_BY_4_0","frozen_bp/iris/pool1.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
"Iris","2","150","3","20","52eee3e7c59ab74164ac773cb692c65b2f199d4b23ad08bdc82675a71337188c","PUBLIC_CC_BY_4_0","frozen_bp/iris/pool2.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
